step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss
0,0.0,0.0,250.0,0.0,0,1,
5000,0.0,0.0,250.0,0.0,20,4,0.0007988782599568367
10000,0.0,0.0,250.0,0.0,40,12,0.00012248371785972267
15000,0.0,0.0,250.0,0.031059999999999997,60,20,6.322514673229307e-05
20000,0.0,0.0,250.0,0.060899999999999996,81,24,4.522798553807661e-05
25000,0.0,0.0,250.0,0.03646,102,24,7.576015377708245e-06
30000,0.0,0.0,250.0,0.0,122,24,3.1351924008049536e-06
35000,0.0,0.0,250.0,0.0,142,24,5.489324621521519e-07
40000,0.0,0.0,250.0,0.0,162,24,1.5469152003788622e-06
45000,0.0,0.0,250.0,0.0,182,24,1.1829031336674234e-06
50000,0.0,0.0,250.0,0.0,202,24,8.062590495683253e-06
55000,0.0,0.0,250.0,0.0,222,24,8.6412933342217e-07
60000,0.0,0.0,250.0,0.0,242,24,6.065814091016364e-07
65000,0.0,0.0,250.0,0.0,262,24,7.949491873660008e-07
70000,0.0,0.0,250.0,0.0,282,24,4.149714186496567e-06
75000,0.0,0.0,250.0,0.0,302,24,1.0560880809862283e-06
80000,0.0,0.0,250.0,0.0,322,24,7.61698288442858e-07
85000,0.0,0.0,250.0,0.0,342,24,7.341095624724403e-07
90000,0.0,0.0,250.0,0.0,362,24,8.454795761281275e-07
95000,0.0,0.0,250.0,0.0,382,24,1.1617557902354747e-06
100000,0.0,0.0,250.0,0.0,402,24,1.7256725186598487e-06
105000,0.0,0.0,250.0,0.0,422,24,5.863982551090885e-06
110000,0.0,0.0,250.0,0.0,442,24,1.5445896224264288e-06
115000,0.0,0.0,250.0,0.0,462,24,9.697055247670505e-07
120000,0.0,0.0,250.0,0.0,482,24,2.0436098111531464e-06
125000,0.0,0.0,250.0,0.0,502,24,9.986316484855706e-08
130000,0.0,0.0,250.0,0.0,522,24,4.77871594739554e-07
135000,0.0,0.0,250.0,0.0,542,24,7.912311161817343e-07
140000,0.0,0.0,250.0,0.0,562,24,3.1513729936705204e-06
