step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon
0,0.0,0.0,100.0,0.0,0,1,,1.0
5000,0.0,0.0,100.0,0.0,50,48,3.1067352779245994e-07,0.940625
10000,0.0,0.0,100.0,0.0,100,48,7.830214343584885e-08,0.88125
15000,0.0,0.0,100.0,0.0,150,48,8.352279223799997e-08,0.821875
20000,0.0,0.0,100.0,0.0,200,48,1.3026737022414636e-08,0.7625
25000,0.0,0.0,100.0,0.0,250,58,1.7233666937954695e-08,0.703125
30000,0.0,0.0,100.0,0.0,300,58,4.4735571691489895e-08,0.64375
35000,0.0,0.0,100.0,0.0,350,58,3.552082361579778e-08,0.5843750000000001
40000,0.0,0.0,100.0,0.0,400,58,4.954987176120085e-08,0.525
45000,0.0,0.0,100.0,0.0,450,58,1.0589078414113828e-07,0.46562500000000007
50000,0.0,0.0,100.0,0.0,500,58,1.315580533400862e-07,0.40625
55000,0.0,0.0,100.0,0.0,550,58,2.270231469481132e-08,0.34687500000000004
60000,0.0,0.0,100.0,0.0,600,58,1.4285883764841856e-07,0.2875000000000001
65000,0.0,0.0,100.0,0.0,650,58,1.437493608591467e-07,0.22812500000000002
70000,0.0,0.0,100.0,0.0,700,58,7.849836336504268e-09,0.16875000000000007
75000,0.0,0.0,100.0,0.0,750,58,1.4953526772387704e-07,0.109375
80000,0.0,0.0,100.0,0.0,800,58,3.9413905028595764e-07,0.050000000000000044
85000,0.0,0.0,100.0,0.0,850,58,6.961295184737537e-08,0.050000000000000044
90000,0.0,0.0,100.0,0.0,900,58,5.6831606087826e-09,0.050000000000000044
95000,0.0,0.0,100.0,0.0,950,58,1.5596839375575655e-08,0.050000000000000044
100000,0.0,0.0,100.0,0.0,1000,58,1.5439977119058312e-07,0.050000000000000044
105000,0.0,0.0,100.0,0.0,1050,58,1.1737490090979463e-08,0.050000000000000044
110000,0.0,0.0,100.0,0.0,1100,58,3.383272684231997e-08,0.050000000000000044
115000,0.0,0.0,100.0,0.0,1150,58,1.1782229876189376e-06,0.050000000000000044
120000,0.0,0.0,100.0,0.0,1200,58,2.7875398700416554e-07,0.050000000000000044
125000,0.0,0.0,100.0,0.0,1250,58,2.1235835312438667e-09,0.050000000000000044
130000,0.0,0.0,100.0,0.0,1300,58,3.845424600967817e-08,0.050000000000000044
135000,0.0,0.0,100.0,0.0,1350,58,6.543734798469814e-08,0.050000000000000044
140000,0.0,0.0,100.0,0.0,1400,58,1.5828094390712977e-08,0.050000000000000044
145000,0.0,0.0,100.0,0.0,1450,58,2.2057603743519394e-08,0.050000000000000044
150000,0.0,0.0,100.0,0.0,1500,58,4.347321436171114e-08,0.050000000000000044
155000,0.0,0.0,100.0,0.0,1550,58,2.7153511439337308e-08,0.050000000000000044
160000,0.0,0.0,100.0,0.0,1600,58,3.386809055427875e-08,0.050000000000000044
165000,0.0,0.0,100.0,0.0,1650,58,3.243569413058367e-09,0.050000000000000044
170000,0.0,0.0,100.0,0.0,1700,58,3.290502448294319e-08,0.050000000000000044
175000,0.0,0.0,100.0,0.0,1750,58,6.810334074458524e-09,0.050000000000000044
180000,0.0,0.0,100.0,0.0,1800,58,1.5297469246888795e-07,0.050000000000000044
185000,0.0,0.0,100.0,0.0,1850,58,3.6629899113904685e-09,0.050000000000000044
190000,0.0,0.0,100.0,0.0,1900,58,6.915650274663676e-10,0.050000000000000044
195000,0.0,0.0,100.0,0.0,1950,58,3.942351778363218e-09,0.050000000000000044
200000,0.0,0.0,100.0,0.0,2000,58,5.119286470289808e-07,0.050000000000000044
205000,0.0,0.0,100.0,0.0,2050,58,6.165490873399904e-08,0.050000000000000044
210000,0.0,0.0,100.0,0.0,2100,58,4.827958921538311e-09,0.050000000000000044
215000,0.0,0.0,100.0,0.0,2150,58,5.415421444610047e-09,0.050000000000000044
220000,0.0,0.0,100.0,0.0,2200,58,7.125382239792089e-08,0.050000000000000044
225000,0.0,0.0,100.0,0.0,2250,58,5.5100233709026725e-08,0.050000000000000044
230000,0.0,0.0,100.0,0.0,2300,58,2.5799393732484077e-09,0.050000000000000044
235000,0.0,0.0,100.0,0.0,2350,58,1.1753882311893449e-09,0.050000000000000044
240000,0.0,0.0,100.0,0.0,2400,58,2.290956047090731e-08,0.050000000000000044
245000,0.0,0.0,100.0,0.0,2450,58,3.056565667236555e-09,0.050000000000000044
250000,0.0,0.0,100.0,0.0,2500,58,2.3614450839204437e-08,0.050000000000000044
255000,0.0,0.0,100.0,0.0,2550,58,8.875343127101587e-09,0.050000000000000044
260000,0.0,0.0,100.0,0.0,2600,58,1.4902213907319606e-09,0.050000000000000044
265000,0.0,0.0,100.0,0.0,2650,58,9.987090265894949e-09,0.050000000000000044
270000,0.0,0.0,100.0,0.0,2700,58,1.99946672552187e-08,0.050000000000000044
275000,0.0,0.0,100.0,0.0,2750,58,2.185138470167658e-08,0.050000000000000044
280000,0.0,0.0,100.0,0.0,2800,58,1.071603037416935e-07,0.050000000000000044
285000,0.0,0.0,100.0,0.0,2850,58,3.0226800618038396e-08,0.050000000000000044
290000,0.0,0.0,100.0,0.0,2900,58,1.7785521944091442e-09,0.050000000000000044
295000,0.0,0.0,100.0,0.0,2950,58,1.3355640149370629e-08,0.050000000000000044
300000,0.0,0.0,100.0,0.0,3000,58,1.3588008940246254e-08,0.050000000000000044
305000,0.0,0.0,100.0,0.0,3050,58,1.0915814030454385e-08,0.050000000000000044
310000,0.0,0.0,100.0,0.0,3100,58,5.448954354392299e-08,0.050000000000000044
315000,0.0,0.0,100.0,0.0,3150,58,6.200430835434645e-09,0.050000000000000044
320000,0.0,0.0,100.0,0.0,3200,58,2.8587809897118177e-09,0.050000000000000044
325000,0.0,0.0,100.0,0.0,3250,58,1.1321692472421319e-09,0.050000000000000044
330000,0.0,0.0,100.0,0.0,3300,58,1.5069002046175228e-08,0.050000000000000044
335000,0.0,0.0,100.0,0.0,3350,58,1.6191157214962004e-07,0.050000000000000044
340000,0.0,0.0,100.0,0.0,3400,58,5.181901485684648e-08,0.050000000000000044
345000,0.0,0.0,100.0,0.0,3450,58,3.8728300566504e-09,0.050000000000000044
350000,0.0,0.0,100.0,0.0,3500,58,3.648932822564177e-10,0.050000000000000044
355000,0.0,0.0,100.0,0.0,3550,58,8.754692970569522e-08,0.050000000000000044
