step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon
0,0.0,0.0,120.0,0.0,0,1,,1.0
5000,0.0,0.0,120.0,0.0,41,86,3.403306152449659e-07,0.940625
10000,0.0,0.0,120.0,0.0,83,97,1.1080965123255737e-06,0.88125
15000,0.0,0.0,120.0,0.0,125,97,5.866031074219791e-07,0.821875
20000,0.0,0.0,120.0,0.0,166,102,8.0373801836231e-08,0.7625
25000,0.0,0.0,120.0,0.0,208,108,2.7826118298435176e-07,0.703125
30000,0.0,0.0,120.0,0.0,250,110,3.801311265760887e-07,0.64375
35000,0.0,0.0,120.0,0.0,291,112,1.1421111594245303e-06,0.5843750000000001
40000,0.0,0.0,120.0,0.0,333,112,3.479908627923578e-08,0.525
45000,0.0,0.0,120.0,0.0,375,112,4.849360735192931e-08,0.46562500000000007
50000,0.0,0.0,120.0,0.0,416,114,1.2717507047455e-07,0.40625
55000,0.0,0.0,120.0,0.0,458,117,4.6355605576309244e-08,0.34687500000000004
60000,0.0,0.0,120.0,0.0,500,117,4.582819030929386e-07,0.2875000000000001
65000,0.0,0.0,120.0,0.0,541,117,2.1537584871111903e-07,0.22812500000000002
70000,0.0,0.0,120.0,0.0,583,117,8.720649091742416e-09,0.16875000000000007
75000,0.0,0.0,120.0,0.0,625,117,1.660076875964478e-08,0.109375
80000,0.0,0.0,120.0,0.0,666,117,2.2423630241519277e-07,0.050000000000000044
85000,0.0,0.0,120.0,0.0,708,117,8.297021736325405e-08,0.050000000000000044
90000,0.0,0.0,120.0,0.0,750,117,8.972442344656884e-08,0.050000000000000044
95000,0.0,0.0,120.0,0.0,791,117,2.527004880903405e-07,0.050000000000000044
100000,0.0,0.0,120.0,0.0,833,117,2.1541146111303533e-07,0.050000000000000044
105000,0.0,0.0,120.0,0.0,875,117,1.0861535315598303e-07,0.050000000000000044
110000,0.0,0.0,120.0,0.0,916,117,6.876850022763392e-08,0.050000000000000044
115000,0.0,0.0,120.0,0.0,958,117,2.458017966944226e-08,0.050000000000000044
120000,0.0,0.0,120.0,0.0,1000,117,1.6184468876190294e-08,0.050000000000000044
125000,0.0,0.0,120.0,0.0,1041,117,4.2221923735041855e-08,0.050000000000000044
130000,0.0,0.0,120.0,0.0,1083,117,2.3256423276052374e-07,0.050000000000000044
135000,0.0,0.0,120.0,0.0,1125,117,3.250961944090136e-09,0.050000000000000044
140000,0.0,0.0,120.0,0.0,1166,117,2.554155997813723e-08,0.050000000000000044
145000,0.0,0.0,120.0,0.0,1208,117,3.869387477095643e-09,0.050000000000000044
150000,0.0,0.0,120.0,0.0,1250,117,3.9014784647406486e-07,0.050000000000000044
155000,0.0,0.0,120.0,0.0,1291,117,5.7911897499707266e-09,0.050000000000000044
160000,0.0,0.0,120.0,0.0,1333,117,6.275935326982562e-09,0.050000000000000044
165000,0.0,0.0,120.0,0.0,1375,117,3.4316265384859435e-08,0.050000000000000044
170000,0.0,0.0,120.0,0.0,1416,117,2.327101533694531e-08,0.050000000000000044
175000,0.0,0.0,120.0,0.0,1458,117,1.7011524278132129e-07,0.050000000000000044
180000,0.0,0.0,120.0,0.0,1500,117,3.4614014765566026e-08,0.050000000000000044
185000,0.0,0.0,120.0,0.0,1541,117,4.434026035227134e-09,0.050000000000000044
190000,0.0,0.0,120.0,0.0,1583,117,2.6731852287298352e-09,0.050000000000000044
195000,0.0,0.0,120.0,0.0,1625,117,3.8970455307207885e-08,0.050000000000000044
200000,0.0,0.0,120.0,0.0,1666,117,2.3266770732277564e-09,0.050000000000000044
205000,0.0,0.0,120.0,0.0,1708,117,5.426900706595461e-09,0.050000000000000044
210000,0.0,0.0,120.0,0.0,1750,117,2.988334131259762e-07,0.050000000000000044
215000,0.0,0.0,120.0,0.0,1791,117,3.427392814003838e-09,0.050000000000000044
220000,0.0,0.0,120.0,0.0,1833,117,2.262977305544922e-10,0.050000000000000044
225000,0.0,0.0,120.0,0.0,1875,117,1.940248628429231e-09,0.050000000000000044
230000,0.0,0.0,120.0,0.0,1916,117,9.567952652389522e-09,0.050000000000000044
235000,0.0,0.0,120.0,0.0,1958,117,1.0960873320087217e-09,0.050000000000000044
240000,0.0,0.0,120.0,0.0,2000,117,1.1252161868924304e-07,0.050000000000000044
245000,0.0,0.0,120.0,0.0,2041,117,7.5023012868769e-07,0.050000000000000044
