step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,epsilon
0,0.0,0.0,0.0,0,1,,1.0
5000,0.0,0.0,0.0,62,67,3.882285568579391e-07,0.940625
10000,0.0,0.0,0.0,125,67,1.1888508311130863e-07,0.88125
15000,0.0,0.0,0.0,187,71,9.729518524181913e-08,0.821875
20000,0.0,0.0,0.0,250,72,6.274960639984783e-08,0.7625
25000,0.0,0.0,0.0,312,72,3.612978360933994e-08,0.703125
30000,0.0,0.0,0.0,375,78,1.9814785900962306e-07,0.64375
35000,0.0,0.0,0.0,437,78,4.145553944567837e-08,0.5843750000000001
40000,0.0,0.0,0.0,500,78,1.2354828982097388e-07,0.525
45000,0.0,0.0,0.0,562,78,3.491650346632014e-08,0.46562500000000007
50000,0.0,0.0,0.0,625,85,2.6275330355929327e-08,0.40625
55000,0.0,0.0,0.0,687,85,4.0125687661429765e-08,0.34687500000000004
60000,0.0,0.0,0.0,750,88,7.104448229711124e-08,0.2875000000000001
65000,0.0,0.0,0.0,812,88,6.871233182437209e-08,0.22812500000000002
70000,0.0,0.0,0.0,875,88,1.111411620513536e-06,0.16875000000000007
75000,0.0,0.0,0.0,937,88,2.5236863709920954e-09,0.109375
80000,0.0,0.0,0.0,1000,88,2.225588389137556e-07,0.050000000000000044
85000,0.0,0.0,0.0,1062,88,4.573509571059731e-09,0.050000000000000044
90000,0.0,0.0,0.0,1125,88,9.287492552800813e-09,0.050000000000000044
95000,0.0,0.0,0.0,1187,88,2.799614584603205e-08,0.050000000000000044
100000,0.0,0.0,0.0,1250,88,4.964838353771484e-07,0.050000000000000044
105000,0.0,0.0,0.0,1312,88,2.3629771916944264e-08,0.050000000000000044
110000,0.0,0.0,0.0,1375,88,1.5821015608707967e-09,0.050000000000000044
115000,0.0,0.0,0.0,1437,88,3.642832169248322e-08,0.050000000000000044
120000,0.0,0.0,0.0,1500,88,3.426868033784558e-08,0.050000000000000044
125000,0.0,0.0,0.0,1562,88,3.657562253067681e-09,0.050000000000000044
130000,0.0,0.0,0.0,1625,88,6.196665935931378e-08,0.050000000000000044
135000,0.0,0.0,0.0,1687,88,1.7991479417389655e-09,0.050000000000000044
140000,0.0,0.0,0.0,1750,88,1.7237623239907407e-07,0.050000000000000044
145000,0.0,0.0,0.0,1812,88,4.061244229802696e-09,0.050000000000000044
150000,0.0,0.0,0.0,1875,88,7.925067713188128e-09,0.050000000000000044
155000,0.0,0.0,0.0,1937,88,4.4653859276877483e-07,0.050000000000000044
160000,0.0,0.0,0.0,2000,88,1.5340826564624876e-07,0.050000000000000044
165000,0.0,0.0,0.0,2062,89,2.4152029265422925e-09,0.050000000000000044
170000,0.0,0.0,0.0,2125,89,1.8715315963646617e-09,0.050000000000000044
175000,0.0,0.0,0.0,2187,89,6.403549690503496e-08,0.050000000000000044
180000,0.0,0.0,0.0,2250,89,5.577315498328517e-09,0.050000000000000044
185000,0.0,0.0,0.0,2312,90,3.92517947034321e-08,0.050000000000000044
190000,0.0,0.0,0.0,2375,90,2.1383597115232078e-08,0.050000000000000044
195000,0.0,0.0,0.0,2437,90,2.2921602393921603e-08,0.050000000000000044
200000,0.0,0.0,0.0,2500,90,4.161039957040202e-09,0.050000000000000044
205000,0.0,0.0,0.0,2562,90,3.4267948478827748e-09,0.050000000000000044
210000,0.0,0.0,0.0,2625,90,2.363701057106482e-08,0.050000000000000044
215000,0.0,0.0,0.0,2687,90,5.997603302887455e-09,0.050000000000000044
220000,0.0,0.0,0.0,2750,90,7.971487292479651e-08,0.050000000000000044
225000,0.0,0.0,0.0,2812,90,1.437040282326052e-07,0.050000000000000044
230000,0.0,0.0,0.0,2875,90,2.316764780019298e-09,0.050000000000000044
235000,0.0,0.0,0.0,2937,90,2.406461252490999e-09,0.050000000000000044
240000,0.0,0.0,0.0,3000,90,4.1553732899046736e-08,0.050000000000000044
245000,0.0,0.0,0.0,3062,90,2.1966546359664108e-09,0.050000000000000044
250000,0.0,0.0,0.0,3125,90,1.7265470830807317e-08,0.050000000000000044
255000,0.0,0.0,0.0,3187,90,1.616284550642888e-09,0.050000000000000044
260000,0.0,0.0,0.0,3250,90,3.10314582918636e-08,0.050000000000000044
265000,0.0,0.0,0.0,3312,90,1.4705009432347538e-09,0.050000000000000044
270000,0.0,0.0,0.0,3375,90,1.194576104701639e-09,0.050000000000000044
275000,0.0,0.0,0.0,3437,90,3.652357749572843e-09,0.050000000000000044
280000,0.0,0.0,0.0,3500,90,1.611735171991313e-07,0.050000000000000044
285000,0.0,0.0,0.0,3562,90,5.371988270885808e-11,0.050000000000000044
290000,0.0,0.0,0.0,3625,90,8.89044671215089e-10,0.050000000000000044
295000,0.0,0.0,0.0,3687,90,3.044788865480541e-09,0.050000000000000044
300000,0.0,0.0,0.0,3750,90,1.7053991996363038e-08,0.050000000000000044
305000,0.0,0.0,0.0,3812,90,7.915048061413188e-10,0.050000000000000044
310000,0.0,0.0,0.0,3875,90,3.381262203561164e-08,0.050000000000000044
315000,0.0,0.0,0.0,3937,90,1.6362440291572966e-09,0.050000000000000044
320000,0.0,0.0,0.0,4000,90,6.145320696759882e-09,0.050000000000000044
325000,0.0,0.0,0.0,4062,90,1.2017554951171405e-08,0.050000000000000044
330000,0.0,0.0,0.0,4125,90,6.693384335676456e-08,0.050000000000000044
335000,0.0,0.0,0.0,4187,90,1.3091979722545943e-09,0.050000000000000044
340000,0.0,0.0,0.0,4250,90,2.693719414192941e-10,0.050000000000000044
345000,0.0,0.0,0.0,4312,90,1.3176096658185088e-08,0.050000000000000044
350000,0.0,0.0,0.0,4375,90,5.1807238499179675e-09,0.050000000000000044
355000,0.0,0.0,0.0,4437,90,2.6569824118638508e-09,0.050000000000000044
360000,0.0,0.0,0.0,4500,90,5.555154114489369e-09,0.050000000000000044
365000,0.0,0.0,0.0,4562,90,7.207766827832529e-09,0.050000000000000044
370000,0.0,0.0,0.0,4625,90,5.455079943317287e-09,0.050000000000000044
375000,0.0,0.0,0.0,4687,90,4.9237378618727234e-09,0.050000000000000044
380000,0.0,0.0,0.0,4750,90,5.7158828781211923e-08,0.050000000000000044
385000,0.0,0.0,0.0,4812,90,3.5139497978065037e-09,0.050000000000000044
