step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss
0,0.0,0.0,640.0,0.0,0,1,
5000,0.0,0.0,640.0,0.0,7,8,0.0018219702178612351
10000,0.0,0.0,640.0,0.0,15,52,2.214436244685203e-05
15000,0.0,0.0,640.0,0.0,23,74,4.716484181699343e-05
20000,0.0,0.0,640.0,0.01484375,31,110,1.2901882655569352e-05
25000,0.0,0.0,640.0,0.101421875,40,113,7.080492650857195e-06
30000,0.0,0.0,640.0,0.08657812499999999,48,113,1.6009201999622746e-06
35000,0.0,0.0,640.0,0.044875,56,113,5.35366234544199e-06
40000,0.0,0.0,640.0,0.0,64,113,9.044564990290382e-07
45000,0.0,0.0,640.0,0.0,72,113,3.2361729154217755e-06
50000,0.0,0.0,640.0,0.0,79,113,5.350924766389653e-06
55000,0.0,0.0,640.0,0.0,87,113,3.016544383172004e-07
60000,0.0,0.0,640.0,0.0,95,113,1.2247796803421807e-06
65000,0.0,0.0,640.0,0.0,103,113,2.3049555863963178e-07
70000,0.0,0.0,640.0,0.0,111,113,2.529580171994894e-07
75000,0.0,0.0,640.0,0.0,118,113,7.258187650904802e-08
80000,0.0,0.0,640.0,0.0,126,113,3.535460280090774e-07
85000,0.0,0.0,640.0,0.0491640625,135,113,4.882636403635843e-06
90000,0.0,0.0,640.0,0.0491640625,143,113,6.477361012002802e-07
95000,0.0,0.0,640.0,0.0325625,151,113,1.2525747195013537e-07
100000,0.0,0.0,640.0,0.0,158,113,3.741499483567168e-07
105000,0.0,0.0,640.0,0.0,166,113,2.492203066140064e-07
110000,0.0,0.0,640.0,0.027718749999999997,174,113,1.18064940579643e-06
115000,0.0,0.0,640.0,0.027718749999999997,182,113,5.912106075811607e-07
120000,0.0,0.0,640.0,0.031929687500000005,191,113,1.0041403584182262e-05
125000,0.0,0.0,640.0,0.031929687500000005,198,113,3.24415736940864e-06
130000,0.0,0.0,640.0,0.031929687500000005,206,113,1.148496721725678e-06
135000,0.0,0.0,640.0,0.006195312499999999,214,113,6.08819505032443e-07
