step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss
0,0.0,0.0,120.0,0.0,0,1,
5000,0.0,0.0,120.0,0.0,41,43,9.873849921859801e-05
10000,0.0,0.0,120.0,0.0,83,62,5.1551658543758094e-05
15000,0.0,0.0,120.0,0.0,125,66,1.8348542653257027e-05
20000,0.0,0.0,120.0,0.0,166,69,2.938301349786343e-06
25000,0.0,0.0,120.0,0.0,208,74,1.7032700725394534e-06
30000,0.0,0.0,120.0,0.0,250,75,3.938623365229432e-07
35000,0.0,0.0,120.0,0.0,291,75,1.0493359781094114e-07
40000,0.0,0.0,120.0,0.0,333,75,9.022618883136602e-07
45000,0.0,0.0,120.0,0.0,375,75,9.533250988624786e-08
50000,0.0,0.0,120.0,0.0,416,75,3.83881122445473e-08
55000,0.0,0.0,120.0,0.0,458,75,6.280783537704338e-08
60000,0.0,0.0,120.0,0.0,500,75,4.9212879105198226e-08
65000,0.0,0.0,120.0,0.0,541,75,3.193273556689746e-08
70000,0.0,0.0,120.0,0.0,583,75,2.6339010972264987e-08
75000,0.0,0.0,120.0,0.0,625,75,1.0047986442884849e-08
80000,0.0,0.0,120.0,0.0,666,75,7.765814302729268e-08
85000,0.0,0.0,120.0,0.0,708,75,6.366076554797928e-09
90000,0.0,0.0,120.0,0.0,750,75,4.071999981647423e-08
95000,0.0,0.0,120.0,0.0,791,75,1.1403577637736362e-08
100000,0.0,0.0,120.0,0.0,833,75,1.2488732714643902e-08
105000,0.0,0.0,120.0,0.0,875,76,6.764960858163249e-08
110000,0.0,0.0,120.0,0.0,916,76,1.3985267166560789e-08
115000,0.0,0.0,120.0,0.0,958,76,1.8396162815292882e-08
120000,0.0,0.0,120.0,0.0,1000,76,3.515193469638689e-08
125000,0.0,0.0,120.0,0.0,1041,76,2.6537007258298217e-08
130000,0.0,0.0,120.0,0.0,1083,76,1.7826765841277847e-08
135000,0.0,0.0,120.0,0.0,1125,76,1.4440016293804092e-08
140000,0.0,0.0,120.0,0.0,1166,76,3.799229730816478e-08
145000,0.0,0.0,120.0,0.0,1208,80,1.5325748847772047e-07
150000,0.0,0.0,120.0,0.0,1250,80,7.82363400730901e-08
155000,0.0,0.0,120.0,0.0,1291,80,5.989128304406677e-09
160000,0.0,0.0,120.0,0.0,1333,80,3.942600201867208e-08
165000,0.0,0.0,120.0,0.0,1375,80,2.1660721216676393e-08
170000,0.0,0.0,120.0,0.0,1416,80,2.0617000018319231e-07
175000,0.0,0.0,120.0,0.0,1458,83,4.9915282573920194e-08
180000,0.0,0.0,120.0,0.0,1500,83,1.7292347109787443e-08
185000,0.0,0.0,120.0,0.0,1541,83,6.266835050894315e-09
190000,0.0,0.0,120.0,0.0,1583,83,4.2013116541284035e-08
195000,0.0,0.0,120.0,0.0,1625,83,1.494172785498904e-08
200000,0.0,0.0,120.0,0.0,1666,85,4.56246915803149e-08
205000,0.0,0.0,120.0,0.0,1708,85,3.1329163707738417e-09
210000,0.0,0.0,120.0,0.0,1750,85,7.489798115045687e-09
215000,0.0,0.0,120.0,0.0,1791,85,4.576767409503191e-09
220000,0.0,0.0,120.0,0.0,1833,85,1.8542174018421065e-08
225000,0.0,0.0,120.0,0.0,1875,85,1.5048934542960524e-08
230000,0.0,0.0,120.0,0.0,1916,85,3.0241494641813915e-08
235000,0.0,0.0,120.0,0.0,1958,85,1.420839113031036e-09
240000,0.0,0.0,120.0,0.0,2000,85,7.989585881773564e-09
245000,0.0,0.0,120.0,0.0,2041,85,4.525443486613767e-08
250000,0.0,0.0,120.0,0.0,2083,85,1.5802710251477947e-08
255000,0.0,0.0,120.0,0.0,2125,85,4.001644793305559e-09
260000,0.0,0.0,120.0,0.0,2166,85,1.7407494112831046e-08
265000,0.0,0.0,120.0,0.0,2208,85,3.036489459873337e-08
270000,0.0,0.0,120.0,0.0,2250,85,3.2916531722548825e-08
275000,0.0,0.0,120.0,0.0,2291,85,9.20504561463531e-10
280000,0.0,0.0,120.0,0.0,2333,85,9.472414852496058e-09
285000,0.0,0.0,120.0,0.0,2375,85,3.148379335016216e-09
290000,0.0,0.0,120.0,0.0,2416,85,2.8698534659810093e-09
295000,0.0,0.0,120.0,0.0,2458,85,4.2333470062771994e-10
300000,0.0,0.0,120.0,0.0,2500,85,1.836536922539267e-09
305000,0.0,0.0,120.0,0.0,2541,85,2.9521833866397174e-08
310000,0.0,0.0,120.0,0.0,2583,85,5.101820077513253e-10
315000,0.0,0.0,120.0,0.0,2625,85,1.4348874977088144e-08
320000,0.0,0.0,120.0,0.0,2666,85,6.905477523133641e-09
325000,0.0,0.0,120.0,0.0,2708,85,6.208133451757192e-10
330000,0.0,0.0,120.0,0.0,2750,85,1.0133558436820067e-09
335000,0.0,0.0,120.0,0.0,2791,85,3.661234426743931e-09
340000,0.0,0.0,120.0,0.0,2833,85,1.410204841789664e-09
345000,0.0,0.0,120.0,0.0,2875,85,2.8797608742081593e-09
350000,0.0,0.0,120.0,0.0,2916,85,4.0119410016359325e-08
355000,0.0,0.0,120.0,0.0,2958,85,1.2059911291828485e-08
360000,0.0,0.0,120.0,0.0,3000,85,2.6673740549654212e-08
365000,0.0,0.0,120.0,0.0,3041,85,6.45747189054191e-09
370000,0.0,0.0,120.0,0.0,3083,85,3.6822274118719633e-09
375000,0.0,0.0,120.0,0.0,3125,85,3.270038684277665e-09
380000,0.0,0.0,120.0,0.0,3166,85,7.517887978814031e-10
