step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,temperature
330000,0.9748,0.0,7.0,0.9744399999999998,24073,24,7.622155067110725e-07,0.001
335000,0.9748,0.0,7.0,0.9729999999999999,24746,24,0.0001010516207315959,0.001
340000,0.9748,0.0,7.0,0.9742599999999999,25387,24,4.638831887859851e-05,0.001
345000,0.9748,0.0,7.0,0.9744399999999998,25994,24,1.2615674904736807e-07,0.001
350000,0.9748,0.0,7.0,0.9747999999999998,26680,24,1.8959909198201785e-07,0.001
355000,0.9748,0.0,7.0,0.9744399999999999,27332,24,8.36912761315034e-08,0.001
360000,0.9748,0.0,7.0,0.9747999999999998,28016,24,5.072287763141503e-07,0.001
365000,0.0,0.0,250.0,0.9665199999999998,28633,24,5.928327936999267e-06,0.001
370000,0.9748,0.0,7.0,0.9747999999999998,29168,24,5.58375802484079e-07,0.001
375000,0.9748,0.0,7.0,0.9747999999999998,29836,24,2.7744164299292606e-07,0.001
380000,0.9748,0.0,7.0,0.9747999999999998,30540,24,7.030735815760636e-08,0.001
385000,0.9748,0.0,7.0,0.9747999999999998,31238,24,1.2183668331999797e-06,0.001
390000,0.9748,0.0,7.0,0.9746199999999996,31929,24,1.2669928537434316e-06,0.001
395000,0.9748,0.0,7.0,0.9746199999999996,32633,24,2.676929852896137e-06,0.001
