step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,temperature
0,0.0,0.0,1000.0,0.0,0,1,,0.1
5000,0.0,0.0,1000.0,0.0,5,190,3.254981209011021e-07,0.08659643233600654
10000,0.0,0.0,1000.0,0.0,10,192,1.2794170345387101e-07,0.07498942093324559
15000,0.0,0.0,1000.0,0.0,15,192,6.721916889773638e-08,0.06493816315762113
20000,0.0,0.0,1000.0,0.0,20,192,6.749826297891559e-08,0.05623413251903491
25000,0.0,0.0,1000.0,0.0,25,192,5.1077179819003504e-08,0.04869675251658631
30000,0.0,0.0,1000.0,0.0,30,192,7.693290626775706e-08,0.042169650342858224
35000,0.0,0.0,1000.0,0.0,35,192,2.6085134052777903e-08,0.036517412725483776
40000,0.0,0.0,1000.0,0.0,40,192,8.655942451696319e-08,0.0316227766016838
45000,0.0,0.0,1000.0,0.0,45,192,1.3271359122768445e-08,0.027384196342643614
50000,0.0,0.0,1000.0,0.0,50,192,1.4894722255576198e-07,0.023713737056616554
55000,0.0,0.0,1000.0,0.0,55,192,3.95313755063853e-08,0.020535250264571463
60000,0.0,0.0,1000.0,0.0,60,192,9.002802947577493e-09,0.01778279410038923
65000,0.0,0.0,1000.0,0.0,65,192,3.1631216756977665e-08,0.01539926526059492
70000,0.0,0.0,1000.0,0.0,70,192,3.8941486479870946e-08,0.01333521432163324
75000,0.0,0.0,1000.0,0.0,75,192,5.576998205469863e-07,0.011547819846894583
80000,0.0,0.0,1000.0,0.0,80,192,2.5509390866318427e-07,0.010000000000000002
85000,0.0,0.0,1000.0,0.0,85,192,4.748911042185e-09,0.008659643233600654
90000,0.0,0.0,1000.0,0.0,90,192,4.288525978779489e-09,0.007498942093324558
95000,0.0,0.0,1000.0,0.0,95,192,8.835333353829355e-09,0.006493816315762114
100000,0.0,0.0,1000.0,0.0,100,192,1.1123431065129807e-08,0.005623413251903492
105000,0.0,0.0,1000.0,0.0,105,192,1.8252091393833325e-08,0.004869675251658632
110000,0.0,0.0,1000.0,0.0,110,192,5.252438484149025e-09,0.004216965034285823
115000,0.0,0.0,1000.0,0.0,115,192,6.094378477428108e-07,0.003651741272548377
120000,0.0,0.0,1000.0,0.0,120,192,1.477950650752291e-09,0.0031622776601683794
125000,0.0,0.0,1000.0,0.0,125,192,1.4621011068527423e-09,0.0027384196342643617
130000,0.0,0.0,1000.0,0.0,130,192,1.0899501301508963e-09,0.0023713737056616554
135000,0.0,0.0,1000.0,0.0,135,192,3.4450433616939335e-08,0.002053525026457146
140000,0.0,0.0,1000.0,0.0,140,192,5.1898727093657726e-08,0.001778279410038923
145000,0.0,0.0,1000.0,0.0,145,192,1.4367925738056897e-09,0.001539926526059492
150000,0.0,0.0,1000.0,0.0,150,192,3.0421396512991805e-09,0.001333521432163324
155000,0.0,0.0,1000.0,0.0,155,192,1.913938785236269e-09,0.0011547819846894581
160000,0.0,0.0,1000.0,0.0,160,192,1.7401753371615314e-09,0.001
165000,0.0,0.0,1000.0,0.0,165,192,7.584974426322333e-09,0.001
170000,0.0,0.0,1000.0,0.032674999999999996,170,215,1.4181627427944932e-08,0.001
175000,0.0,0.0,1000.0,0.032674999999999996,175,215,1.8521003397609093e-08,0.001
180000,0.0,0.0,1000.0,0.032674999999999996,180,215,3.801719383744739e-09,0.001
185000,0.0,0.0,1000.0,0.032674999999999996,185,215,5.258814717024052e-09,0.001
190000,0.0,0.0,1000.0,0.0,190,215,4.427007205265454e-09,0.001
195000,0.0,0.0,1000.0,0.0,195,215,6.745235037186603e-09,0.001
200000,0.0,0.0,1000.0,0.024485,201,215,1.9214803081979426e-09,0.001
205000,0.0,0.0,1000.0,0.024485,206,215,1.0942382111522875e-08,0.001
210000,0.0,0.0,1000.0,0.024485,211,215,7.1456529582292205e-09,0.001
215000,0.0,0.0,1000.0,0.024485,216,215,4.986938506590377e-08,0.001
220000,0.0,0.0,1000.0,0.0,221,215,4.26447321899559e-09,0.001
225000,0.0,0.0,1000.0,0.0,226,215,1.2193404508309413e-08,0.001
230000,0.0,0.0,1000.0,0.0,231,215,6.962120657760806e-09,0.001
235000,0.0,0.0,1000.0,0.0,236,215,1.0207664047356957e-08,0.001
240000,0.0,0.0,1000.0,0.0,241,215,6.356204096391593e-08,0.001
245000,0.0,0.0,1000.0,0.0,246,215,2.4951550159357794e-08,0.001
250000,0.0,0.0,1000.0,0.0,251,215,3.8737329788318675e-08,0.001
255000,0.0,0.0,1000.0,0.0,256,215,1.4446484009056348e-08,0.001
260000,0.0,0.0,1000.0,0.0,261,215,4.05484144039292e-08,0.001
