step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon,mean_bonus,distinct_keys
0,0.0,0.0,256.0,0.0,0,1,,0.05,0.01,1.0
5000,0.0,0.0,256.0,0.141640625,22,41,2.0598135961336084e-05,0.05,0.0008426728146601389,34.0
10000,0.0,0.0,256.0,0.54416015625,87,82,0.0011373884044587612,0.05,0.000551696706154057,50.0
15000,0.0,0.0,256.0,0.3223046875,144,109,0.005568706430494785,0.05,0.0005907347218035608,65.0
20000,0.0,0.0,256.0,0.0,164,111,0.000332825438817963,0.05,0.0003648059350842472,66.0
25000,0.0,0.0,256.0,0.0,183,111,0.00040963166975416243,0.05,0.00017761490232022704,66.0
30000,0.0,0.0,256.0,0.0,203,111,0.0016316070687025785,0.05,0.00024282962021549898,66.0
35000,0.0,0.0,256.0,0.0,222,111,0.00010796433343784884,0.05,0.00023171839703001345,66.0
40000,0.0,0.0,256.0,0.0,242,111,0.00019391885143704712,0.05,0.0003245413623117959,66.0
45000,0.0,0.0,256.0,0.0,261,111,8.713299757800996e-05,0.05,0.00016910074654565642,66.0
50000,0.0,0.0,256.0,0.0,281,111,0.0007880596094764769,0.05,0.00016490992315589247,66.0
55000,0.0,0.0,256.0,0.0072851562499999965,300,111,3.2966960134217516e-05,0.05,0.00014344835406407064,66.0
60000,0.0,0.0,256.0,0.0,320,120,7.0247842813842e-05,0.05,0.0002037189870902582,72.0
65000,0.0,0.0,256.0,0.0,339,124,0.0005576448165811598,0.05,0.0006702697775152651,75.0
70000,0.0,0.0,256.0,0.0,359,131,2.0614295863197185e-05,0.05,0.0005442343895485575,77.0
75000,0.0,0.0,256.0,0.0,379,135,5.668728590535466e-06,0.05,0.0005122970675800392,81.0
80000,0.0,0.0,256.0,0.0,398,135,6.8530857788573485e-06,0.05,0.0004380774678177035,81.0
85000,0.0,0.0,256.0,0.0391015625,418,136,0.00012780167162418365,0.05,0.00037034870359524543,82.0
90000,0.0,0.0,256.0,0.21271484375,442,136,5.1139845709258225e-06,0.05,0.0004119772134654627,82.0
95000,0.0,0.0,256.0,0.32304687500000007,470,138,1.33557496155845e-05,0.05,0.0001825083656798529,84.0
100000,0.0,0.0,256.0,0.10552734374999999,491,138,1.2543176126200706e-05,0.05,0.00036550140970902225,84.0
105000,0.0,0.0,256.0,0.08767578125,513,138,9.44470230024308e-06,0.05,0.00011725037036603437,84.0
110000,0.0,0.0,256.0,0.21859374999999998,536,138,2.130796383426059e-05,0.05,0.0002784109524322232,84.0
115000,0.0,0.0,256.0,0.0,556,138,5.265532308840193e-05,0.05,0.00018309588185444196,84.0
120000,0.0,0.0,256.0,0.04314453125,576,138,5.2837417570117395e-06,0.05,0.000315847017267778,84.0
125000,0.0,0.0,256.0,0.009218749999999998,596,139,1.0620733519317582e-05,0.05,0.0004189976757465326,85.0
130000,0.0,0.0,256.0,0.09462890625,618,139,7.035208000161219e-06,0.05,0.00022674677990499183,85.0
135000,0.0,0.0,256.0,0.10640625,639,139,6.040576408850029e-06,0.05,0.0003084173632088256,85.0
140000,0.0,0.0,256.0,0.116328125,661,139,2.862432666006498e-05,0.05,0.0001251636814722848,85.0
145000,0.0,0.0,256.0,0.331171875,689,140,1.786474240361713e-05,0.05,0.0002496924904793325,86.0
150000,0.0,0.0,256.0,0.21728515625,715,140,1.0411768926132936e-05,0.05,0.00025958368839474477,86.0
155000,0.0,0.0,256.0,0.12072265624999998,737,140,0.0011826502159237862,0.05,0.00011412821803682188,86.0
160000,0.0,0.0,256.0,0.2724609375,762,140,5.030161901231622e-06,0.05,0.00020937609317814627,86.0
165000,0.0,0.0,256.0,0.32765625,789,140,6.39431436866289e-06,0.05,0.00016166774193683374,86.0
170000,0.0,0.0,256.0,0.03927734375,809,140,1.200278438773239e-05,0.05,0.0001604520431211514,86.0
175000,0.0,0.0,256.0,0.423515625,839,140,3.5389693948673084e-06,0.05,0.0001073261453701406,86.0
180000,0.0,0.0,256.0,0.43685546875,872,140,1.2635363191293436e-06,0.05,0.0002342206617605111,86.0
185000,0.0,0.0,256.0,0.19945312499999998,898,140,9.261510967917275e-06,0.05,0.00017630906692334014,86.0
190000,0.0,0.0,256.0,0.170078125,922,140,4.495830580708571e-06,0.05,0.00018794379361403556,86.0
195000,0.0,0.0,256.0,0.10736328125000001,944,140,1.0101595762534998e-05,0.05,0.00011480563489404737,86.0
200000,0.0,0.0,256.0,0.06203125,965,140,7.439809451170731e-06,0.05,7.747718272469654e-05,86.0
205000,0.0,0.0,256.0,0.0,984,140,5.920813237025868e-06,0.05,9.616468320521099e-05,86.0
210000,0.0,0.0,256.0,0.0293359375,1004,140,0.001671180478297174,0.05,0.00012641469559296475,86.0
215000,0.0,0.0,256.0,0.14054687500000002,1026,140,9.425848475075327e-06,0.05,0.00011637705864886147,86.0
220000,0.0,0.0,256.0,0.06853515624999999,1047,140,9.755370228958782e-06,0.05,8.205217867573406e-05,86.0
225000,0.0,0.0,256.0,0.06078125000000001,1067,140,9.208220944856293e-06,0.05,0.00012377793558255147,86.0
230000,0.0,0.0,256.0,0.22195312499999997,1091,140,3.9036556700011715e-05,0.05,0.00023196239775309,86.0
235000,0.0,0.0,256.0,0.0,1111,140,3.381228452781215e-05,0.05,0.00022332532072294846,86.0
240000,0.0,0.0,256.0,0.183203125,1134,140,1.1918893505935557e-05,0.05,0.0001903684836425828,86.0
245000,0.0,0.0,256.0,0.16123046875,1158,140,3.0452332794084214e-05,0.05,0.0001292957382395097,86.0
250000,0.0,0.0,256.0,0.8466406250000003,1208,140,1.6688161849742755e-05,0.05,0.00023600480149005618,86.0
255000,0.0,0.0,256.0,0.8964648437499999,1293,140,1.990175042010378e-05,0.05,0.0002134576871435831,86.0
260000,0.954296875,0.0,13.0,0.92880859375,1482,140,4.957753844792023e-05,0.05,0.0001987242115353981,86.0
265000,0.954296875,0.0,13.0,0.9527148437500002,1707,140,0.00023117204545997083,0.05,0.00019496866893482968,86.0
270000,0.0,0.0,256.0,0.782578125,1771,140,8.630624506622553e-05,0.05,0.00019397769941916122,86.0
275000,0.0,0.0,256.0,0.09603515625,1792,140,4.068475391250104e-05,0.05,0.00025036810464906643,86.0
280000,0.0,0.0,256.0,0.27261718749999997,1817,140,1.7020231098285876e-05,0.05,0.0002568191674946467,86.0
285000,0.0,0.0,256.0,0.0,1836,140,1.4453710718953516e-05,0.05,0.0002721362406768769,86.0
290000,0.0,0.0,256.0,0.0,1856,140,2.3921609681565315e-05,0.05,0.00023621717218388333,86.0
295000,0.0,0.0,256.0,0.07802734375,1877,140,1.3592998584499583e-05,0.05,0.0003567212368850109,86.0
300000,0.0,0.0,256.0,0.0,1896,140,3.9293317968258634e-05,0.05,0.0001362120950967172,86.0
305000,0.0,0.0,256.0,0.1760546875,1920,140,4.6180980461940635e-06,0.05,6.821862218594929e-05,86.0
310000,0.0,0.0,256.0,0.32087890625,1949,140,0.00014614126121159643,0.05,5.762420352948963e-05,86.0
315000,0.0,0.0,256.0,0.63212890625,2042,140,3.123847272945568e-05,0.05,0.00010145253422968369,86.0
320000,0.0,0.0,256.0,0.6125390625,2144,140,3.946707511204295e-05,0.05,0.00012275663330223478,86.0
325000,0.0,0.0,256.0,0.44953125000000005,2195,140,0.0002324332599528134,0.05,0.00018583254591766256,86.0
330000,0.0,0.0,256.0,0.7111132812500001,2232,140,4.0439128497382626e-05,0.05,0.0002353716219041605,86.0
335000,0.954296875,0.0,13.0,0.41671874999999997,2265,140,0.00018997886218130589,0.05,0.00016182309197942268,86.0
340000,0.0,0.0,256.0,0.80673828125,2353,140,5.048827733844519e-05,0.05,0.0001486703423977135,86.0
345000,0.0,0.0,256.0,0.44818359374999994,2385,140,7.559114237665199e-06,0.05,0.00016333289201066255,86.0
350000,0.0,0.0,256.0,0.60126953125,2439,140,0.0012098100269213319,0.05,0.0001703515394454877,86.0
355000,0.0,0.0,256.0,0.8314453125,2550,140,1.1131483006465714e-05,0.05,0.0001664404559165713,86.0
360000,0.0,0.0,256.0,0.7553125,2626,140,5.410386802395806e-05,0.05,0.00015619768090155116,86.0
365000,0.0,0.0,256.0,0.70646484375,2690,140,2.020943065872416e-05,0.05,0.0001970505418045485,86.0
370000,0.0,0.0,256.0,0.0680078125,2711,140,1.3897828466724604e-05,0.05,0.0001261384105379527,86.0
375000,0.0,0.0,256.0,0.025039062499999997,2731,140,5.887377938051941e-06,0.05,0.00018124754163512474,86.0
380000,0.0,0.0,256.0,0.47259765625000005,2760,140,0.0003704348055180162,0.05,0.00016645815647183286,86.0
385000,0.0,0.0,256.0,0.6001367187500001,2804,140,3.0412737032747827e-05,0.05,0.00016360266889275683,86.0
390000,0.0,0.0,256.0,0.6902929687499999,2844,140,1.5737625290057622e-05,0.05,0.0001578486980185365,86.0
395000,0.0,0.0,256.0,0.655234375,2883,140,2.776360088319052e-05,0.05,0.00014759107175026825,86.0
