step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon
0,0.0,0.0,360.0,0.0,0,1,,1.0
5000,0.0,0.0,360.0,0.01892857142857143,14,45,1.4320667673928256e-07,0.940625
10000,0.0,0.0,360.0,0.0,27,45,9.005364631775592e-08,0.88125
15000,0.0,0.0,360.0,0.0,41,45,3.829265153854067e-07,0.821875
20000,0.0,0.0,360.0,0.007624999999999998,55,47,1.1379252100596204e-06,0.7625
25000,0.0,0.0,360.0,0.0,69,47,2.1653565340784553e-07,0.703125
30000,0.0,0.0,360.0,0.0235,83,47,4.347091817180626e-06,0.64375
35000,0.0,0.0,360.0,0.0,97,47,3.3914682262548013e-07,0.5843750000000001
40000,0.0,0.0,360.0,0.0,111,47,3.8401992696890375e-07,0.525
45000,0.0,0.0,360.0,0.0,125,47,7.324323405555333e-07,0.46562500000000007
50000,0.0,0.0,360.0,0.042749999999999996,140,47,1.7691081666271202e-05,0.40625
55000,0.0,0.0,360.0,0.048124999999999994,154,47,4.90755212467775e-07,0.34687500000000004
60000,0.0,0.0,360.0,0.0,168,47,4.542922624750645e-07,0.2875000000000001
65000,0.0,0.0,360.0,0.0,182,47,6.670993570878636e-07,0.22812500000000002
70000,0.0,0.0,360.0,0.009249999999999998,196,47,1.0737882121247821e-06,0.16875000000000007
75000,0.0,0.0,360.0,0.024375,210,47,2.3694601622992195e-06,0.109375
80000,0.0,0.0,360.0,0.042375,224,47,1.5228769143504906e-06,0.050000000000000044
85000,0.0,0.0,360.0,0.0,238,47,1.5719217572041089e-06,0.050000000000000044
90000,0.0,0.0,360.0,0.0,252,47,1.2314330888330005e-05,0.050000000000000044
95000,0.0,0.0,360.0,0.0,266,47,3.371176717337221e-06,0.050000000000000044
100000,0.0,0.0,360.0,0.015375,280,47,1.934452484420035e-06,0.050000000000000044
105000,0.0,0.0,360.0,0.0,294,47,6.479832336481195e-06,0.050000000000000044
110000,0.0,0.0,360.0,0.0,308,47,0.00021272333106026053,0.050000000000000044
