step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon,mean_bonus,distinct_keys
255000,0.0,0.0,60.0,0.0185,4254,59,3.5314440083311638e-06,0.05,0.00019486854950038484,76.0
260000,0.0,0.0,60.0,0.0,4337,59,5.2486511776805855e-06,0.05,0.00019908818950198487,76.0
265000,0.0,0.0,60.0,0.0,4421,59,1.8978428215632448e-06,0.05,0.00013892139343212295,76.0
270000,0.0,0.0,60.0,0.0,4504,59,1.512642256784602e-06,0.05,0.00010836341911308443,76.0
275000,0.0,0.0,60.0,0.0,4587,59,1.4342713257065043e-06,0.05,9.49579722370949e-05,76.0
280000,0.0,0.0,60.0,0.0,4671,59,3.007297891599592e-06,0.05,0.00014055704688394188,76.0
285000,0.0,0.0,60.0,0.0,4758,59,3.6976680348743685e-06,0.05,0.00018455675878486477,76.0
290000,0.79,0.0,14.0,0.63025,4873,59,6.472027962445281e-07,0.05,0.0003787311449497025,76.0
295000,0.0,0.0,60.0,0.017000000000000005,4970,59,1.895805326057598e-05,0.05,0.00012514570220920345,76.0
300000,0.0,0.0,60.0,0.0,5055,59,2.5737543182913214e-05,0.05,0.00012128054696649952,76.0
305000,0.0,0.0,60.0,0.0,5138,59,1.4940825167286675e-05,0.05,7.786543413457595e-05,76.0
310000,0.0,0.0,60.0,0.0,5222,59,2.2159929358167574e-05,0.05,0.00012288028018011884,76.0
315000,0.0,0.0,60.0,0.0,5306,59,0.0006244656979106367,0.05,0.00011622390772298211,76.0
320000,0.0,0.0,60.0,0.0,5389,59,1.7927282897289842e-05,0.05,0.00015350869814849638,77.0
325000,0.0,0.0,60.0,0.0,5472,59,5.3645853768102825e-06,0.05,6.958588477290851e-05,77.0
330000,0.0,0.0,60.0,0.0,5556,59,1.5124813216971233e-05,0.05,0.00012294720801850822,79.0
335000,0.0,0.0,60.0,0.0,5639,59,7.467376235581469e-06,0.05,0.0001672921350050514,79.0
340000,0.0,0.0,60.0,0.10425,5730,59,6.427660082408693e-06,0.05,0.00010296152198943715,79.0
345000,0.0,0.0,60.0,0.20800000000000002,5818,60,1.5388898191304179e-06,0.05,0.0002503093131456866,80.0
350000,0.79,0.0,14.0,0.6660000000000001,5994,60,5.2059385780012235e-06,0.05,0.00042639968581919836,80.0
355000,0.0,0.0,60.0,0.47750000000000004,6180,60,1.2256712579983287e-05,0.05,0.000386139594714435,80.0
360000,0.0,0.0,60.0,0.0,6272,66,8.845249794831034e-06,0.05,0.0002505749890643263,86.0
365000,0.0,0.0,60.0,0.50375,6390,66,9.053928806679323e-06,0.05,0.000317325311850159,86.0
370000,0.0,0.0,60.0,0.0,6480,66,2.7625639631878585e-05,0.05,9.873628790347208e-05,86.0
375000,0.0,0.0,60.0,0.14750000000000002,6588,66,1.366035758110229e-05,0.05,0.00022474250408239532,86.0
380000,0.0,0.0,60.0,0.43149999999999994,6706,66,1.8592776541481726e-05,0.05,0.00031100793224553356,86.0
385000,0.0,0.0,60.0,0.41050000000000003,6865,73,3.907159225491341e-06,0.05,0.0005379168426969119,93.0
390000,0.0,0.0,60.0,0.0,6984,73,0.003700654488056898,0.05,0.00011519231760886627,93.0
395000,0.79,0.0,14.0,0.69975,7183,75,1.5804947906872258e-05,0.05,0.0007163807249395858,95.0
