step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss
0,0.0,0.0,640.0,0.0,0,1,
5000,0.0,0.0,640.0,0.0,7,111,0.00010992523311870173
10000,0.0,0.0,640.0,0.0,15,111,4.5572465751320124e-05
15000,0.0,0.0,640.0,0.0,23,111,2.807560122164432e-05
20000,0.0,0.0,640.0,0.0,31,111,3.347562369526713e-06
25000,0.0,0.0,640.0,0.0,39,111,1.3805506569042336e-06
30000,0.0,0.0,640.0,0.0,46,111,5.442581141323899e-07
35000,0.0,0.0,640.0,0.0,54,111,1.181587094833958e-06
40000,0.0,0.0,640.0,0.0,62,111,1.4226020539354067e-06
45000,0.0,0.0,640.0,0.0,70,112,7.935103951695055e-08
50000,0.0,0.0,640.0,0.0,78,112,6.394006391019502e-08
55000,0.0,0.0,640.0,0.0,85,112,9.829673786043713e-08
60000,0.0,0.0,640.0,0.0,93,112,4.145770304830876e-08
65000,0.0,0.0,640.0,0.0,101,112,6.029688393027755e-08
70000,0.0,0.0,640.0,0.0,109,112,1.5771734140912486e-08
75000,0.0,0.0,640.0,0.0,117,112,2.0514390541848115e-07
80000,0.0,0.0,640.0,0.0,125,112,3.333508047376199e-08
85000,0.0,0.0,640.0,0.0,132,112,2.871491844302909e-08
90000,0.0,0.0,640.0,0.0,140,112,1.2654211900553491e-07
95000,0.0,0.0,640.0,0.0,148,112,1.5380836160261424e-08
100000,0.0,0.0,640.0,0.0,156,112,2.250325259467445e-08
105000,0.0,0.0,640.0,0.0,164,112,2.3887798406008187e-08
110000,0.0,0.0,640.0,0.0,171,112,3.809451598613123e-08
115000,0.0,0.0,640.0,0.0,179,112,1.0263560668022365e-08
120000,0.0,0.0,640.0,0.0,187,112,3.3340249672164646e-08
125000,0.0,0.0,640.0,0.0,195,112,1.882889399951182e-08
130000,0.0,0.0,640.0,0.0,203,112,8.667228712511132e-09
135000,0.0,0.0,640.0,0.0,210,112,5.252329771110453e-08
140000,0.0,0.0,640.0,0.0,218,112,9.87998660662015e-09
145000,0.0,0.0,640.0,0.0,226,112,5.243398604193317e-08
150000,0.0,0.0,640.0,0.0,234,112,9.35106214683401e-09
155000,0.0,0.0,640.0,0.0,242,112,4.349541171677629e-08
160000,0.0,0.0,640.0,0.0,250,112,1.503111057843398e-08
165000,0.0,0.0,640.0,0.0,257,112,1.0248633941500884e-07
170000,0.0,0.0,640.0,0.0,265,112,1.758942502760874e-08
175000,0.0,0.0,640.0,0.0,273,112,2.3405094751183242e-08
180000,0.0,0.0,640.0,0.0,281,112,2.9466027839930575e-08
185000,0.0,0.0,640.0,0.0,289,112,3.2871810162760084e-08
190000,0.0,0.0,640.0,0.0,296,112,3.7198624180945217e-09
195000,0.0,0.0,640.0,0.0,304,112,2.015890743223281e-08
200000,0.0,0.0,640.0,0.0,312,112,1.394388604580854e-08
205000,0.0,0.0,640.0,0.0,320,112,5.077875453451952e-09
210000,0.0,0.0,640.0,0.0,328,112,3.014025296010914e-08
215000,0.0,0.0,640.0,0.0,335,112,1.2484440148341491e-09
220000,0.0,0.0,640.0,0.0,343,112,2.0365712671832625e-08
225000,0.0,0.0,640.0,0.0,351,112,7.764482390371086e-09
230000,0.0,0.0,640.0,0.0,359,112,1.0365791780486688e-08
235000,0.0,0.0,640.0,0.0,367,112,5.952327519764822e-09
240000,0.0,0.0,640.0,0.0,375,112,3.113299484880372e-08
245000,0.0,0.0,640.0,0.0,382,112,4.711080237029819e-08
250000,0.0,0.0,640.0,0.0,390,112,4.692242150383663e-09
255000,0.0,0.0,640.0,0.0,398,112,1.008476679942305e-08
260000,0.0,0.0,640.0,0.0,406,112,8.906116732987357e-09
265000,0.0,0.0,640.0,0.0,414,112,1.168488306113602e-09
270000,0.0,0.0,640.0,0.0,421,112,1.4678469550943873e-09
275000,0.0,0.0,640.0,0.0,429,112,5.161638227946241e-09
280000,0.0,0.0,640.0,0.0,437,112,3.838504514241947e-10
285000,0.0,0.0,640.0,0.0,445,112,1.4337031561950653e-09
290000,0.0,0.0,640.0,0.0,453,112,2.9727051931160986e-09
295000,0.0,0.0,640.0,0.0,460,112,2.2531844834361436e-08
300000,0.0,0.0,640.0,0.0,468,112,1.5806532971396337e-08
305000,0.0,0.0,640.0,0.0,476,112,3.4551356220546836e-10
310000,0.0,0.0,640.0,0.0,484,112,1.1136656041799142e-09
315000,0.0,0.0,640.0,0.0,492,112,3.3854485881334995e-10
320000,0.0,0.0,640.0,0.0,500,112,2.0671604872291027e-08
325000,0.0,0.0,640.0,0.0,507,112,6.999355761649895e-09
330000,0.0,0.0,640.0,0.0,515,112,9.47205514023608e-09
335000,0.0,0.0,640.0,0.0,523,112,1.9020649943968237e-08
340000,0.0,0.0,640.0,0.0,531,112,3.960554195714394e-08
345000,0.0,0.0,640.0,0.0,539,112,1.799208426689347e-08
350000,0.0,0.0,640.0,0.0,546,112,1.0009159057133843e-09
355000,0.0,0.0,640.0,0.0,554,112,3.5077782456482964e-08
360000,0.0,0.0,640.0,0.0,562,112,1.4006725779225349e-09
365000,0.0,0.0,640.0,0.0,570,112,3.154904559821148e-09
370000,0.0,0.0,640.0,0.0,578,112,2.89477508630398e-09
375000,0.0,0.0,640.0,0.0,585,112,9.93500282042703e-10
380000,0.0,0.0,640.0,0.040507812500000004,594,112,4.81422013365318e-09
385000,0.0,0.0,640.0,0.040507812500000004,602,118,8.074962920545659e-09
390000,0.0,0.0,640.0,0.040507812500000004,610,118,5.127133384519311e-09
395000,0.0,0.0,640.0,0.0,617,119,1.913070146741802e-09
