step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon,mean_bonus,distinct_keys
0,0.0,0.0,100.0,0.0,0,1,,0.05,0.01,1.0
5000,0.0,0.0,100.0,0.0,50,12,4.817745775653748e-07,0.05,0.000609026171163624,11.0
10000,0.0,0.0,100.0,0.0,100,14,2.299238417435845e-07,0.05,0.00043680488163007786,12.0
15000,0.0,0.0,100.0,0.0,150,15,1.676203709166657e-07,0.05,0.0005297766916967345,14.0
20000,0.0,0.0,100.0,0.0,200,15,2.7250408152212913e-07,0.05,0.00022758655945003656,14.0
25000,0.0,0.0,100.0,0.0,250,17,3.3992114367720205e-07,0.05,0.00025634767169223073,16.0
30000,0.0,0.0,100.0,0.0,300,17,5.346730063138239e-07,0.05,0.00024057115884276988,16.0
35000,0.0,0.0,100.0,0.0,350,17,9.334499964097631e-07,0.05,0.00020904308647674518,17.0
40000,0.0,0.0,100.0,0.0,400,17,1.4725058861131401e-07,0.05,0.00036847802581120456,18.0
45000,0.0,0.0,100.0,0.0,450,20,4.849018182540021e-07,0.05,0.00019347205745527319,22.0
50000,0.0,0.0,100.0,0.0,500,21,1.814941697375616e-06,0.05,0.0004890280014360192,26.0
55000,0.0,0.0,100.0,0.0,550,31,1.0510939318919554e-06,0.05,0.0007211776861456814,37.0
60000,0.0,0.0,100.0,0.0,600,33,9.047208777701599e-07,0.05,0.00024368814778988535,39.0
65000,0.0,0.0,100.0,0.0,650,34,9.421935232012402e-08,0.05,0.0003552347932700071,43.0
70000,0.0,0.0,100.0,0.0,700,34,1.3140507917341893e-06,0.05,0.00017251043342044595,43.0
75000,0.0,0.0,100.0,0.0,750,34,2.114976069833574e-07,0.05,0.00031100752134364347,43.0
80000,0.0,0.0,100.0,0.0,800,37,5.7383211071737605e-08,0.05,0.0002331073305620539,46.0
85000,0.0,0.0,100.0,0.0,850,37,1.011512154036609e-06,0.05,0.00019055972048217994,46.0
90000,0.0,0.0,100.0,0.0,900,37,3.9645277638555854e-07,0.05,0.00016351935414318466,46.0
95000,0.0,0.0,100.0,0.0,950,37,1.4823087894910714e-06,0.05,0.00015761801719637946,47.0
100000,0.0,0.0,100.0,0.0,1000,39,1.1781547470945952e-07,0.05,0.000319072109684101,49.0
105000,0.0,0.0,100.0,0.0,1050,40,4.807785671800957e-07,0.05,0.0002769784837293597,51.0
110000,0.0,0.0,100.0,0.0,1100,40,8.84289477198763e-08,0.05,0.0003384648111618046,51.0
115000,0.0,0.0,100.0,0.0,1150,40,8.487212426189217e-07,0.05,0.00019759067032553443,51.0
120000,0.0,0.0,100.0,0.0,1200,40,1.3537726317736087e-07,0.05,0.000305785108563695,51.0
125000,0.0,0.0,100.0,0.0,1250,40,9.810780738916947e-07,0.05,0.0002556932222938193,51.0
130000,0.0,0.0,100.0,0.0,1300,40,4.632887282696174e-07,0.05,0.00019297005286354296,52.0
135000,0.0,0.0,100.0,0.0,1350,40,9.095140285353409e-08,0.05,0.00016307144250945032,52.0
140000,0.0,0.0,100.0,0.0,1400,40,2.172356943219711e-07,0.05,0.00014903206597735686,52.0
145000,0.0,0.0,100.0,0.0,1450,40,7.087043059073039e-07,0.05,0.00017463137494420566,52.0
150000,0.0,0.0,100.0,0.0,1500,40,2.917708741279057e-07,0.05,0.00013281696786312004,52.0
155000,0.0,0.0,100.0,0.0,1550,40,3.1501923558607814e-07,0.05,0.00018001556423391684,52.0
160000,0.0,0.0,100.0,0.0,1600,40,9.756122381077148e-07,0.05,0.0001346462477816157,52.0
165000,0.0,0.0,100.0,0.0,1650,40,3.744317211840098e-07,0.05,0.0001233993652605881,53.0
170000,0.0,0.0,100.0,0.0,1700,40,8.620959306426812e-06,0.05,0.00012101119621973185,53.0
