step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,temperature
0,0.0,0.0,640.0,0.0,0,1,,0.1
5000,0.0,0.0,640.0,0.0,7,95,3.2515831094315217e-07,0.08659643233600654
10000,0.0,0.0,640.0,0.0,15,96,1.3794365827379806e-07,0.07498942093324559
15000,0.0,0.0,640.0,0.0,23,96,5.018234361386931e-08,0.06493816315762113
20000,0.0,0.0,640.0,0.0,31,96,4.1296171815474736e-08,0.05623413251903491
25000,0.0,0.0,640.0,0.0,39,96,1.4468492182118098e-08,0.04869675251658631
30000,0.0,0.0,640.0,0.0,46,96,8.064301937338314e-08,0.042169650342858224
35000,0.0,0.0,640.0,0.0,54,99,1.1611317773940755e-07,0.036517412725483776
40000,0.0,0.0,640.0,0.0,62,99,7.372646848580189e-08,0.0316227766016838
45000,0.0,0.0,640.0,0.0,70,99,1.297898322150104e-08,0.027384196342643614
50000,0.0,0.0,640.0,0.0,78,99,6.804791041759017e-08,0.023713737056616554
55000,0.0,0.0,640.0,0.0,85,99,1.7577880839780846e-07,0.020535250264571463
60000,0.0,0.0,640.0,0.0,93,99,8.630377301699355e-09,0.01778279410038923
65000,0.0,0.0,640.0,0.0,101,99,3.059258091298034e-08,0.01539926526059492
70000,0.0,0.0,640.0,0.0,109,99,9.74293570266127e-08,0.01333521432163324
75000,0.0,0.0,640.0,0.0,117,99,2.2596302073907282e-07,0.011547819846894583
80000,0.0,0.0,640.0,0.0,125,99,2.4176610935455756e-08,0.010000000000000002
85000,0.0,0.0,640.0,0.0,132,99,6.865444657222497e-09,0.008659643233600654
90000,0.0,0.0,640.0,0.0,140,99,5.101677658103654e-08,0.007498942093324558
95000,0.0,0.0,640.0,0.0,148,99,7.369469585682964e-07,0.006493816315762114
100000,0.0,0.0,640.0,0.0,156,99,7.522442757590397e-08,0.005623413251903492
105000,0.0,0.0,640.0,0.0,164,99,7.534125323616081e-09,0.004869675251658632
110000,0.0,0.0,640.0,0.0,171,99,6.436816413213364e-09,0.004216965034285823
