step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,epsilon
0,0.0,0.0,0.0,0,1,,1.0
5000,0.0,0.0,0.0,13,32,7.239836463668325e-07,0.940625
10000,0.0,0.0,0.034625,28,40,9.918855425894435e-08,0.88125
15000,0.0,0.0,0.034625,42,40,1.972018708329415e-07,0.821875
20000,0.0,0.0,0.0,56,40,2.3820827266263223e-07,0.7625
25000,0.0,0.0,0.0,70,40,1.1347139405870621e-07,0.703125
30000,0.0,0.0,0.0,83,40,2.0054096694366308e-07,0.64375
35000,0.0,0.0,0.0,97,40,2.1290665586093382e-07,0.5843750000000001
40000,0.0,0.0,0.0,111,40,1.0105203074317615e-07,0.525
45000,0.0,0.0,0.0,125,40,8.758505742889611e-08,0.46562500000000007
50000,0.0,0.0,0.0,139,41,3.61364669743125e-07,0.40625
55000,0.0,0.0,0.0,153,41,2.0685142487764097e-07,0.34687500000000004
60000,0.0,0.0,0.0,167,41,1.0700314589939808e-07,0.2875000000000001
65000,0.0,0.0,0.0,181,41,1.141178032071366e-07,0.22812500000000002
70000,0.0,0.0,0.0,195,41,5.074252840131521e-08,0.16875000000000007
75000,0.0,0.0,0.0,208,41,3.4957768235699405e-08,0.109375
80000,0.0,0.0,0.0,222,41,2.9339616958168335e-08,0.050000000000000044
85000,0.0,0.0,0.0,236,41,4.6431363642795986e-08,0.050000000000000044
90000,0.0,0.0,0.0,250,41,7.157406223257112e-09,0.050000000000000044
95000,0.0,0.0,0.0,264,41,3.152339900225343e-08,0.050000000000000044
100000,0.0,0.0,0.0,278,41,4.087279847908576e-08,0.050000000000000044
105000,0.0,0.0,0.0,292,41,1.375881026888237e-07,0.050000000000000044
110000,0.0,0.0,0.0,306,41,9.552813651225733e-08,0.050000000000000044
115000,0.0,0.0,0.0,320,41,8.691479536082625e-08,0.050000000000000044
120000,0.0,0.0,0.0,333,41,4.8369443561568914e-08,0.050000000000000044
125000,0.0,0.0,0.0,347,41,8.815519692007001e-08,0.050000000000000044
130000,0.0,0.0,0.0,361,41,3.2150844209155593e-09,0.050000000000000044
135000,0.0,0.0,0.0,375,41,2.8015451292162652e-08,0.050000000000000044
140000,0.0,0.0,0.009000000000000003,389,46,1.3547220589771314e-07,0.050000000000000044
145000,0.0,0.0,0.0,403,46,1.1996529103441844e-08,0.050000000000000044
150000,0.0,0.0,0.0,417,46,6.204475511140117e-08,0.050000000000000044
155000,0.0,0.0,0.0,431,46,6.759485415841482e-09,0.050000000000000044
160000,0.0,0.0,0.0,445,46,1.3986189983938857e-08,0.050000000000000044
165000,0.0,0.0,0.0,459,46,4.238499684561248e-08,0.050000000000000044
170000,0.0,0.0,0.0,472,46,1.0815180750967102e-08,0.050000000000000044
175000,0.0,0.0,0.047499999999999994,487,47,2.711059110538372e-08,0.050000000000000044
180000,0.0,0.0,0.0,501,47,1.0514922621496225e-07,0.050000000000000044
185000,0.0,0.0,0.0,515,47,3.401383082746179e-06,0.050000000000000044
190000,0.0,0.0,0.0,529,47,1.6063141856648144e-06,0.050000000000000044
195000,0.0,0.0,0.0,543,47,1.162134353194233e-07,0.050000000000000044
200000,0.0,0.0,0.0,557,47,5.969400973526717e-08,0.050000000000000044
205000,0.0,0.0,0.0,571,47,5.569063432631083e-07,0.050000000000000044
210000,0.0,0.0,0.0,584,47,3.189016410942713e-07,0.050000000000000044
215000,0.0,0.0,0.0,598,47,1.4508973436022643e-06,0.050000000000000044
220000,0.0,0.0,0.0,612,47,2.787965414086102e-08,0.050000000000000044
225000,0.0,0.0,0.0,626,47,7.420038627969916e-08,0.050000000000000044
230000,0.0,0.0,0.0,640,47,1.0082343351314194e-06,0.050000000000000044
235000,0.0,0.0,0.0,654,47,1.8704623983012425e-07,0.050000000000000044
240000,0.0,0.0,0.0,668,47,3.3158517709352964e-08,0.050000000000000044
