step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,temperature
0,0.0,0.0,40.0,0.0,0,1,,0.1
5000,0.0,0.0,40.0,0.0,125,30,1.0485609891475178e-07,0.08659643233600654
10000,0.0,0.0,40.0,0.0,250,36,2.2526288034896425e-07,0.07498942093324559
15000,0.0,0.0,40.0,0.0,375,36,3.3708737134929834e-08,0.06493816315762113
20000,0.0,0.0,40.0,0.0,500,46,1.665538817974266e-08,0.05623413251903491
25000,0.0,0.0,40.0,0.0,625,46,4.5329066722388234e-08,0.04869675251658631
30000,0.0,0.0,40.0,0.0,750,46,1.3857764997737831e-06,0.042169650342858224
35000,0.0,0.0,40.0,0.0,875,46,1.5174327927525155e-07,0.036517412725483776
40000,0.0,0.0,40.0,0.0,1000,47,2.4770449158495467e-07,0.0316227766016838
45000,0.0,0.0,40.0,0.0,1125,49,4.3257557535980595e-07,0.027384196342643614
50000,0.0,0.0,40.0,0.0,1250,49,2.8563283649418736e-06,0.023713737056616554
55000,0.0,0.0,40.0,0.0,1375,49,6.696657095517367e-08,0.020535250264571463
60000,0.0,0.0,40.0,0.0,1500,49,7.320204531424679e-08,0.01778279410038923
65000,0.0,0.0,40.0,0.0,1625,51,3.186118249232095e-07,0.01539926526059492
70000,0.7975,0.0,9.0,0.0,1750,53,1.7359504056457808e-07,0.01333521432163324
75000,0.7975,0.0,9.0,0.023499999999999993,1876,55,1.454081598240009e-06,0.011547819846894583
80000,0.0,0.0,40.0,0.06675,2004,55,4.982378527529363e-07,0.010000000000000002
85000,0.0,0.0,40.0,0.15037499999999998,2139,55,5.546108695853036e-06,0.008659643233600654
90000,0.7975,0.0,9.0,0.5574999999999999,2314,55,0.00017370814748574048,0.007498942093324558
95000,0.0,0.0,40.0,0.7783749999999999,2787,55,7.224558794405311e-05,0.006493816315762114
100000,0.0,0.0,40.0,0.102125,3062,56,0.0007881208439357579,0.005623413251903492
105000,0.0,0.0,40.0,0.07625,3189,56,3.438128624111414e-05,0.004869675251658632
110000,0.0,0.0,40.0,0.0,3315,56,1.5073251233843621e-05,0.004216965034285823
115000,0.0,0.0,40.0,0.0,3440,56,1.5919471479719505e-05,0.003651741272548377
120000,0.0,0.0,40.0,0.07625,3568,56,1.3770073564955965e-05,0.0031622776601683794
125000,0.0,0.0,40.0,0.015625,3695,56,3.8226098695304245e-06,0.0027384196342643617
130000,0.0,0.0,40.0,0.04825,3823,56,9.313446753367316e-06,0.0023713737056616554
135000,0.7975,0.0,9.0,0.513125,3983,56,9.481572305958252e-06,0.002053525026457146
140000,0.0,0.0,40.0,0.414875,4198,56,1.882693322841078e-05,0.001778279410038923
145000,0.0,0.0,40.0,0.5113750000000001,4400,56,8.235863060690463e-05,0.001539926526059492
150000,0.0,0.0,40.0,0.5435,4640,56,1.3532969205698464e-05,0.001333521432163324
155000,0.0,0.0,40.0,0.7581249999999999,5010,56,1.9290146155981347e-05,0.0011547819846894581
160000,0.0,0.0,40.0,0.7974999999999999,5441,56,0.0002149123465642333,0.001
165000,0.0,0.0,40.0,0.669875,5770,56,1.2236602742632385e-05,0.001
