step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon,mean_bonus,distinct_keys
0,0.0,0.0,256.0,0.0,0,1,,0.05,0.01,1.0
5000,0.0,0.0,256.0,0.0,19,19,1.720296040730318e-06,0.05,0.0005696959261443788,19.0
10000,0.0,0.0,256.0,0.0,39,94,9.187791079057206e-07,0.05,0.0012676944580012237,62.0
15000,0.0,0.0,256.0,0.0130859375,58,117,3.9000480001050164e-07,0.05,0.0013425944802275414,74.0
20000,0.0,0.0,256.0,0.0856640625,79,138,1.3050399502390064e-05,0.05,0.0008873949888267302,85.0
25000,0.94375,0.0,16.0,0.7416992187499999,134,139,4.7026322135934606e-05,0.05,0.0004064804158263086,85.0
30000,0.0,0.0,256.0,0.79654296875,242,139,0.001612099353224039,0.05,0.00038546620857858073,85.0
35000,0.0,0.0,256.0,0.07125,264,139,0.0027063286397606134,0.05,0.0003712413921026835,85.0
40000,0.0,0.0,256.0,0.0,283,139,0.0008105019805952907,0.05,0.00029122334361696476,85.0
45000,0.0,0.0,256.0,0.0,303,139,0.0001201755803776905,0.05,0.0002306418266585003,85.0
50000,0.0,0.0,256.0,0.0,322,139,0.0004831036494579166,0.05,0.00019088137908719943,85.0
55000,0.0,0.0,256.0,0.0,342,139,4.0074828575598076e-05,0.05,0.0001462023412779009,85.0
60000,0.0,0.0,256.0,0.0,361,139,9.830800263443962e-05,0.05,0.00015524526746566353,85.0
65000,0.0,0.0,256.0,0.10394531250000001,383,139,0.00012137954763602465,0.05,0.00011207487275836342,85.0
70000,0.0,0.0,256.0,0.053066406249999996,403,139,2.8345857572276145e-05,0.05,0.00016671124467356938,85.0
75000,0.0,0.0,256.0,0.011328125,423,139,8.51885270094499e-05,0.05,0.0002008922050557685,85.0
80000,0.0,0.0,256.0,0.09453125,444,139,1.4290835679275915e-05,0.05,0.00010578235397365567,85.0
85000,0.0,0.0,256.0,0.10613281249999999,466,139,0.00014135491801425815,0.05,0.00011348296707502509,85.0
90000,0.0,0.0,256.0,0.25560546875,491,139,0.000180003626155667,0.05,0.0001221050318118685,85.0
95000,0.0,0.0,256.0,0.10455078124999999,513,140,1.766161403793376e-05,0.05,0.0001387325195194596,86.0
100000,0.0,0.0,256.0,0.07458984375,534,140,0.0003459182335063815,0.05,0.00015059301005750856,86.0
105000,0.0,0.0,256.0,0.08310546875,554,140,3.7239398807287216e-05,0.05,0.00016239632014463602,86.0
110000,0.0,0.0,256.0,0.0292578125,575,140,0.00038160302210599184,0.05,9.058698847555991e-05,86.0
115000,0.0,0.0,256.0,0.027402343749999995,594,140,2.6261788661940955e-05,0.05,9.017781401172918e-05,86.0
120000,0.0,0.0,256.0,0.17941406249999997,617,140,0.0005611583474092185,0.05,9.732668541232325e-05,86.0
125000,0.0,0.0,256.0,0.18115234375,640,140,3.156911043333821e-05,0.05,0.0001438362505844511,86.0
130000,0.0,0.0,256.0,0.08619140625,662,140,7.607882253068965e-07,0.05,0.00015485024523787978,86.0
135000,0.0,0.0,256.0,0.0,681,140,3.802173523581587e-05,0.05,0.0001009228590588115,86.0
140000,0.0,0.0,256.0,0.21115234374999997,705,140,5.055729161540512e-06,0.05,0.00021849595464814913,86.0
145000,0.0,0.0,256.0,0.045078125000000004,725,140,5.156847464604652e-07,0.05,0.00023638335755752404,86.0
150000,0.0,0.0,256.0,0.04384765625,746,140,1.0660695807018783e-05,0.05,0.00029673538497930474,86.0
155000,0.0,0.0,256.0,0.13302734374999997,768,140,1.2003962183371186e-05,0.05,0.0004091758504741778,86.0
160000,0.0,0.0,256.0,0.290234375,794,140,0.0003038560098502785,0.05,0.0003784121059192024,86.0
165000,0.0,0.0,256.0,0.4031445312499999,827,140,1.1700711866069469e-06,0.05,0.0002438727808906428,86.0
170000,0.961328125,0.0,11.0,0.9277539062499999,912,140,1.0093264791066758e-05,0.05,0.0002336905952074678,86.0
175000,0.0,0.0,256.0,0.9237109374999999,1146,140,4.735474431072362e-05,0.05,0.0002069746926754794,86.0
180000,0.0,0.0,256.0,0.5186914062500001,1192,140,0.000879127939697355,0.05,0.00013373965518877594,86.0
185000,0.0,0.0,256.0,0.011679687499999997,1212,140,5.2112951379967853e-05,0.05,0.00019324189075283244,86.0
190000,0.0,0.0,256.0,0.017656250000000002,1232,140,6.740441313013434e-05,0.05,0.0001450127674557153,86.0
195000,0.0,0.0,256.0,0.069921875,1252,140,1.923720628838055e-05,0.05,0.00012299028376569287,86.0
200000,0.0,0.0,256.0,0.02880859375,1272,140,0.000819100474473089,0.05,9.489440970452748e-05,86.0
205000,0.0,0.0,256.0,0.06748046875,1293,140,0.0007760943844914436,0.05,0.00011453347876803106,86.0
210000,0.0,0.0,256.0,0.06414062499999999,1314,140,0.0007064254605211318,0.05,0.0001629432530533489,86.0
215000,0.961328125,0.0,11.0,0.63669921875,1357,140,4.5086726458976045e-05,0.05,0.00014117309817745756,86.0
220000,0.0,0.0,256.0,0.33369140625,1385,140,4.186576552456245e-05,0.05,6.369530469329554e-05,86.0
225000,0.0,0.0,256.0,0.6633203125,1430,140,7.841756087145768e-06,0.05,6.742755418804364e-05,86.0
230000,0.0,0.0,256.0,0.38851562500000003,1458,140,0.0002724214573390782,0.05,8.657112561128061e-05,86.0
235000,0.9578125,0.0,12.0,0.47869140624999995,1494,140,0.0011455189669504762,0.05,0.00013858031460440908,86.0
240000,0.0,0.0,256.0,0.12492187499999999,1517,140,1.9690245608217083e-05,0.05,0.0001765274826270327,86.0
245000,0.0,0.0,256.0,0.8878515624999999,1627,140,0.00012795448128599674,0.05,0.00012897807842929287,86.0
250000,0.947265625,0.0,15.0,0.9409375000000001,1823,140,9.900015720631927e-05,0.05,0.00024180777211723045,86.0
255000,0.0,0.0,256.0,0.7098046874999999,1973,140,0.0003225862456019968,0.05,0.00022708465038793273,86.0
260000,0.0,0.0,256.0,0.44390625000000006,2034,140,5.5054017138900235e-05,0.05,0.00025930695988490545,86.0
265000,0.0,0.0,256.0,0.036367187499999995,2054,140,0.00011571665527299047,0.05,0.00021986458262139084,86.0
270000,0.0,0.0,256.0,0.0251171875,2074,140,8.248870290117338e-05,0.05,0.0003097979158121953,86.0
275000,0.0,0.0,256.0,0.0,2094,140,3.7166973925195634e-05,0.05,0.0002587527326608086,86.0
280000,0.0,0.0,256.0,0.016249999999999997,2113,140,4.147614163230173e-05,0.05,0.0002701173811570063,86.0
285000,0.0,0.0,256.0,0.0,2133,140,1.5440344213857315e-05,0.05,0.00021841548501328796,86.0
290000,0.0,0.0,256.0,0.020644531249999997,2153,140,2.8460069643188035e-06,0.05,0.00020605179869205836,86.0
295000,0.0,0.0,256.0,0.06369140625,2174,140,0.00013017418677918613,0.05,0.0003552655860746712,86.0
300000,0.0,0.0,256.0,0.67123046875,2222,140,1.1793749763455708e-05,0.05,0.00011651038451340435,86.0
305000,0.0,0.0,256.0,0.80814453125,2282,140,1.2498144315031823e-05,0.05,0.00014533028792933185,86.0
310000,0.0,0.0,256.0,0.5064453124999999,2337,140,2.889415918616578e-05,0.05,0.00022209801519470685,86.0
315000,0.0,0.0,256.0,0.80849609375,2409,140,0.0003134431899525225,0.05,0.00019418480365462264,86.0
320000,0.0,0.0,256.0,0.7787109375,2502,140,9.68116000876762e-05,0.05,0.0001512564947404564,86.0
325000,0.95078125,0.0,14.0,0.5914453125000001,2578,140,6.700165977235883e-05,0.05,0.0001789483142444947,86.0
