step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss
0,0.0,0.0,490.0,0.0,0,1,
5000,0.0,0.0,490.0,0.0,10,56,9.10227099666372e-05
10000,0.0,0.0,490.0,0.0,20,56,2.5080269551835954e-05
15000,0.0,0.0,490.0,0.0,30,60,2.752393629634753e-05
20000,0.0,0.0,490.0,0.0,40,67,6.765746093151392e-06
25000,0.0,0.0,490.0,0.0,51,67,1.359727093586116e-06
30000,0.0,0.0,490.0,0.0,61,67,9.400630460731918e-07
35000,0.0,0.0,490.0,0.0,71,67,4.85176315123681e-07
40000,0.0,0.0,490.0,0.0,81,67,1.123181618822855e-07
45000,0.0,0.0,490.0,0.0,91,68,4.1756592850106244e-07
50000,0.0,0.0,490.0,0.0,102,68,6.658103757217759e-08
55000,0.0,0.0,490.0,0.0,112,68,2.298514623078063e-08
60000,0.0,0.0,490.0,0.0,122,68,1.3334541471010652e-08
65000,0.0,0.0,490.0,0.0,132,68,9.23768439520245e-08
70000,0.0,0.0,490.0,0.0,142,68,9.87797221796427e-08
75000,0.0,0.0,490.0,0.0,153,68,2.3133779336603766e-08
80000,0.0,0.0,490.0,0.0,163,68,5.1592031979907915e-08
85000,0.0,0.0,490.0,0.0,173,68,8.376551008382194e-09
90000,0.0,0.0,490.0,0.0,183,68,3.564620243423633e-08
95000,0.0,0.0,490.0,0.0,193,76,1.7345154645909133e-08
100000,0.0,0.0,490.0,0.0,204,76,5.579594741789151e-08
105000,0.0,0.0,490.0,0.0,214,76,2.4467407655492934e-08
110000,0.0,0.0,490.0,0.0,224,76,3.906210821469358e-08
115000,0.0,0.0,490.0,0.0,234,76,2.104404295266704e-08
120000,0.0,0.0,490.0,0.0,244,76,1.62712350260108e-08
125000,0.0,0.0,490.0,0.0,255,76,1.4218706212432153e-07
130000,0.0,0.0,490.0,0.0,265,76,7.503528465235831e-09
135000,0.0,0.0,490.0,0.0,275,76,6.758289572417198e-08
140000,0.0,0.0,490.0,0.0,285,76,2.4142667864879286e-09
145000,0.0,0.0,490.0,0.0,295,76,9.951282464726319e-08
150000,0.0,0.0,490.0,0.0,306,76,7.781624233871298e-09
155000,0.0,0.0,490.0,0.0,316,76,7.352107189717572e-08
160000,0.0,0.0,490.0,0.0,326,76,2.9554584557445196e-08
165000,0.0,0.0,490.0,0.0,336,76,6.030869315054588e-08
170000,0.0,0.0,490.0,0.0,346,76,2.1971613861637707e-08
175000,0.0,0.0,490.0,0.0,357,76,6.912590944097019e-09
180000,0.0,0.0,490.0,0.0,367,76,1.0516214565825521e-08
185000,0.0,0.0,490.0,0.0,377,76,9.94787452412993e-09
190000,0.0,0.0,490.0,0.03374489795918367,388,80,9.225666275369804e-08
195000,0.0,0.0,490.0,0.03374489795918367,398,80,4.550478216458487e-09
200000,0.0,0.0,490.0,0.0,408,80,4.603876391229278e-07
205000,0.0,0.0,490.0,0.0,419,80,6.698942289773413e-09
210000,0.0,0.0,490.0,0.0,429,80,2.1678578931982884e-08
215000,0.0,0.0,490.0,0.0,439,80,8.303616461091679e-09
220000,0.0,0.0,490.0,0.0,449,80,2.0625673613494655e-08
225000,0.0,0.0,490.0,0.0,459,80,7.617369846002475e-09
230000,0.0,0.0,490.0,0.0,470,80,2.1129487492999033e-08
235000,0.0,0.0,490.0,0.0,480,80,5.962301763418054e-09
240000,0.0,0.0,490.0,0.0,490,80,3.571201290242243e-08
245000,0.0,0.0,490.0,0.0,500,80,1.2873929478018908e-08
250000,0.0,0.0,490.0,0.0,510,80,1.2585469555403961e-08
255000,0.0,0.0,490.0,0.0,521,80,1.1617322570600663e-07
260000,0.0,0.0,490.0,0.0,531,80,1.6179463102616864e-08
265000,0.0,0.0,490.0,0.0,541,80,3.4731634457330074e-08
270000,0.0,0.0,490.0,0.0,551,80,7.556365311245372e-09
275000,0.0,0.0,490.0,0.0,561,80,1.095036594733756e-08
280000,0.0,0.0,490.0,0.0,572,80,1.5897386740348907e-09
285000,0.0,0.0,490.0,0.0,582,80,1.4506311707407349e-08
290000,0.0,0.0,490.0,0.0,592,80,3.990265540210203e-08
295000,0.0,0.0,490.0,0.0,602,80,7.362125575838263e-09
300000,0.0,0.0,490.0,0.0,612,80,1.4311313023540606e-08
305000,0.0,0.0,490.0,0.0,623,80,2.04353045596406e-09
310000,0.0,0.0,490.0,0.0,633,80,6.134937446944377e-09
315000,0.0,0.0,490.0,0.0,643,80,2.874164461985629e-09
320000,0.0,0.0,490.0,0.0,653,80,1.4237365064673213e-08
325000,0.0,0.0,490.0,0.0,663,80,5.117813728361398e-09
330000,0.0,0.0,490.0,0.0,674,80,5.9885101322265655e-09
335000,0.0,0.0,490.0,0.0,684,80,7.877417829149636e-09
340000,0.0,0.0,490.0,0.0,694,80,2.0680625212321502e-08
345000,0.0,0.0,490.0,0.0,704,80,3.2675973038465145e-09
350000,0.0,0.0,490.0,0.0,714,80,4.3250743431144656e-08
355000,0.0,0.0,490.0,0.0,725,80,1.0342990464096147e-08
360000,0.0,0.0,490.0,0.0,735,80,6.149612374883873e-08
365000,0.0,0.0,490.0,0.0,745,80,5.45172307298003e-09
370000,0.0,0.0,490.0,0.0,755,80,9.819876467531685e-09
375000,0.0,0.0,490.0,0.0,765,80,4.2404253441929995e-09
380000,0.0,0.0,490.0,0.0,776,80,1.0021008023386457e-08
385000,0.0,0.0,490.0,0.0,786,80,1.275645900022937e-08
390000,0.0,0.0,490.0,0.0,796,80,2.0977061865323776e-08
395000,0.0,0.0,490.0,0.0,806,80,4.976442369297729e-09
