step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss
0,0.0,0.0,1000.0,0.0,0,1,
5000,0.0,0.0,1000.0,0.03835999999999999,5,204,0.00011217642168048769
10000,0.0,0.0,1000.0,0.019179999999999996,10,204,6.222382944542915e-05
15000,0.0,0.0,1000.0,0.012786666666666665,15,206,2.567949195508845e-05
20000,0.0,0.0,1000.0,0.009589999999999998,20,206,1.8849002572096651e-06
25000,0.0,0.0,1000.0,0.0,25,206,4.04423462896375e-06
30000,0.0,0.0,1000.0,0.0,30,206,9.546198498355807e-07
35000,0.0,0.0,1000.0,0.0,35,206,2.2567306245946384e-07
40000,0.0,0.0,1000.0,0.0,40,206,4.86809426547552e-07
45000,0.0,0.0,1000.0,0.0,45,206,1.3988935165798466e-07
50000,0.0,0.0,1000.0,0.0,50,206,1.489647161179164e-08
55000,0.0,0.0,1000.0,0.0,55,206,7.6244042190865e-08
60000,0.0,0.0,1000.0,0.0,60,206,5.394163338223734e-08
65000,0.0,0.0,1000.0,0.0,65,206,1.559291185060374e-08
70000,0.0,0.0,1000.0,0.0,70,206,2.7324037432663317e-07
75000,0.0,0.0,1000.0,0.0,75,206,2.1719043274970318e-07
80000,0.0,0.0,1000.0,0.0,80,206,9.938384337715434e-09
85000,0.0,0.0,1000.0,0.0,85,206,3.152265293238088e-08
90000,0.0,0.0,1000.0,0.0,90,206,1.484084766190108e-08
95000,0.0,0.0,1000.0,0.0,95,206,1.2280349892535014e-07
100000,0.0,0.0,1000.0,0.0,100,206,9.716708326834578e-09
105000,0.0,0.0,1000.0,0.0,105,206,3.34654259859235e-08
110000,0.0,0.0,1000.0,0.0,110,206,4.0670133927278584e-09
115000,0.0,0.0,1000.0,0.0,115,206,5.1920828525453544e-08
120000,0.0,0.0,1000.0,0.0,120,206,2.2329384563590793e-08
125000,0.0,0.0,1000.0,0.0,125,206,1.278891517131342e-07
130000,0.0,0.0,1000.0,0.0,130,206,1.9873844792073214e-07
135000,0.0,0.0,1000.0,0.0,135,206,7.641046906314841e-09
