step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon
0,0.0,0.0,80.0,0.0,0,1,,1.0
5000,0.0,0.0,80.0,0.0,62,48,9.192769567789583e-08,0.940625
10000,0.0,0.0,80.0,0.0,125,48,5.996729157686786e-08,0.88125
15000,0.0,0.0,80.0,0.0,187,63,2.0819932444737788e-08,0.821875
20000,0.0,0.0,80.0,0.0,250,69,6.791227491476093e-08,0.7625
25000,0.0,0.0,80.0,0.0,312,73,1.1447109216078388e-07,0.703125
30000,0.0,0.0,80.0,0.0,375,77,1.7697758494250593e-06,0.64375
35000,0.0,0.0,80.0,0.0,437,77,4.119693741699848e-08,0.5843750000000001
40000,0.0,0.0,80.0,0.0,500,77,1.0974848407840909e-07,0.525
45000,0.0,0.0,80.0,0.0,562,82,5.716144642065046e-07,0.46562500000000007
50000,0.0,0.0,80.0,0.0,625,82,1.9798660844116966e-07,0.40625
55000,0.0,0.0,80.0,0.0,687,82,4.385844363241631e-07,0.34687500000000004
60000,0.0,0.0,80.0,0.0,750,82,9.092084951589641e-08,0.2875000000000001
65000,0.0,0.0,80.0,0.0,812,82,1.8425322423354373e-07,0.22812500000000002
70000,0.0,0.0,80.0,0.0,875,82,2.899066089412372e-07,0.16875000000000007
75000,0.0,0.0,80.0,0.0,937,82,2.747358784915832e-09,0.109375
80000,0.0,0.0,80.0,0.0,1000,82,2.2286822343176027e-07,0.050000000000000044
85000,0.0,0.0,80.0,0.0,1062,82,5.736020547431053e-09,0.050000000000000044
90000,0.0,0.0,80.0,0.0,1125,82,6.12959949464198e-09,0.050000000000000044
95000,0.0,0.0,80.0,0.0,1187,82,7.144838036765577e-07,0.050000000000000044
100000,0.0,0.0,80.0,0.0,1250,82,3.1271380152020356e-08,0.050000000000000044
105000,0.0,0.0,80.0,0.0,1312,82,2.166801138514529e-08,0.050000000000000044
110000,0.0,0.0,80.0,0.0,1375,82,7.717466843359944e-08,0.050000000000000044
115000,0.0,0.0,80.0,0.0,1437,82,1.5441042222619217e-08,0.050000000000000044
120000,0.0,0.0,80.0,0.0,1500,82,8.366777493051814e-09,0.050000000000000044
125000,0.0,0.0,80.0,0.0,1562,82,1.5193467817198325e-08,0.050000000000000044
130000,0.0,0.0,80.0,0.0,1625,82,2.2011861222637208e-09,0.050000000000000044
135000,0.0,0.0,80.0,0.0,1687,82,6.871587743262353e-09,0.050000000000000044
140000,0.0,0.0,80.0,0.0,1750,82,1.1542230282657329e-08,0.050000000000000044
145000,0.0,0.0,80.0,0.0,1812,82,7.722920081221218e-09,0.050000000000000044
150000,0.0,0.0,80.0,0.0,1875,82,2.1450103915299223e-08,0.050000000000000044
155000,0.0,0.0,80.0,0.0,1937,82,1.2344849587009321e-08,0.050000000000000044
160000,0.0,0.0,80.0,0.0,2000,82,1.4655000768470927e-08,0.050000000000000044
165000,0.0,0.0,80.0,0.0,2062,82,2.1600406796551397e-08,0.050000000000000044
170000,0.0,0.0,80.0,0.0,2125,82,2.583759206586933e-09,0.050000000000000044
