step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss
0,0.0,0.0,80.0,0.0,0,1,
5000,0.0,0.0,80.0,0.0,62,16,0.0001567502913530916
10000,0.0,0.0,80.0,0.0,125,16,1.7169797501992434e-05
15000,0.0,0.0,80.0,0.0,187,16,2.1529576770262793e-05
20000,0.0,0.0,80.0,0.0,250,16,5.104644151288085e-05
25000,0.0,0.0,80.0,0.0,312,27,1.4865584319068148e-07
30000,0.0,0.0,80.0,0.0,375,27,5.046990281698527e-06
35000,0.0,0.0,80.0,0.0,437,38,1.0758776625152677e-05
40000,0.0,0.0,80.0,0.0,500,44,1.1340873840026688e-07
45000,0.0,0.0,80.0,0.0,562,44,1.3828077953803586e-06
50000,0.0,0.0,80.0,0.0,625,48,1.8036277538158174e-07
55000,0.0,0.0,80.0,0.0,687,53,2.470011963850993e-07
60000,0.0,0.0,80.0,0.0,750,53,3.606699294778082e-07
65000,0.0,0.0,80.0,0.0,812,53,2.597611370447339e-08
70000,0.0,0.0,80.0,0.0,875,53,4.350038906864029e-08
75000,0.0,0.0,80.0,0.0,937,53,5.545050996147438e-08
80000,0.0,0.0,80.0,0.0,1000,53,2.6623288462701566e-08
85000,0.0,0.0,80.0,0.0,1062,53,2.688702416264732e-08
90000,0.0,0.0,80.0,0.0,1125,53,3.2408429717634135e-08
95000,0.0,0.0,80.0,0.0,1187,53,1.8172272575611714e-08
100000,0.0,0.0,80.0,0.0,1250,53,2.632193663032467e-08
105000,0.0,0.0,80.0,0.0,1312,53,3.5682436561046416e-08
110000,0.0,0.0,80.0,0.0,1375,53,2.0544733914107383e-08
115000,0.0,0.0,80.0,0.0,1437,53,1.654890091629113e-08
120000,0.0,0.0,80.0,0.0,1500,53,7.226293341489054e-09
125000,0.0,0.0,80.0,0.0,1562,53,1.4208353604772128e-07
130000,0.0,0.0,80.0,0.0,1625,53,5.361201704801033e-09
135000,0.0,0.0,80.0,0.0,1687,53,5.693078009016972e-08
140000,0.0,0.0,80.0,0.0,1750,53,6.6239294049807995e-09
145000,0.0,0.0,80.0,0.0,1812,53,3.3303277913177e-09
150000,0.0,0.0,80.0,0.0,1875,53,2.3574420637828553e-08
155000,0.0,0.0,80.0,0.0,1937,57,5.040506323439331e-08
160000,0.0,0.0,80.0,0.0,2000,57,1.7492112203143506e-09
165000,0.0,0.0,80.0,0.0,2062,58,1.2026328377601203e-08
170000,0.0,0.0,80.0,0.0,2125,58,1.1192769377998957e-08
175000,0.0,0.0,80.0,0.0,2187,58,1.5307108913731327e-09
180000,0.0,0.0,80.0,0.0,2250,58,6.675525465738019e-09
185000,0.0,0.0,80.0,0.0,2312,58,1.995649689945367e-08
190000,0.0,0.0,80.0,0.0,2375,58,5.647397660624165e-09
195000,0.0,0.0,80.0,0.0,2437,58,2.8842657151528783e-09
200000,0.0,0.0,80.0,0.0,2500,58,5.34660893336536e-09
205000,0.0,0.0,80.0,0.0,2562,58,1.763610368854529e-09
210000,0.0,0.0,80.0,0.0,2625,58,9.583103199872767e-09
215000,0.0,0.0,80.0,0.0,2687,58,1.1806518429580137e-08
220000,0.0,0.0,80.0,0.0,2750,58,3.6700420480428875e-09
225000,0.0,0.0,80.0,0.0,2812,58,8.156963104966053e-08
230000,0.0,0.0,80.0,0.0,2875,58,2.2059769122506623e-08
235000,0.0,0.0,80.0,0.0,2937,58,2.91439739008581e-09
240000,0.0,0.0,80.0,0.0,3000,58,2.84122503302342e-09
245000,0.0,0.0,80.0,0.0,3062,58,1.3665538922680298e-08
250000,0.0,0.0,80.0,0.0,3125,58,4.42663328215076e-09
255000,0.0,0.0,80.0,0.0,3187,58,2.795716547154825e-08
260000,0.0,0.0,80.0,0.0,3250,58,3.3518604558580023e-10
265000,0.0,0.0,80.0,0.0,3312,58,3.065231624077569e-08
270000,0.0,0.0,80.0,0.0,3375,58,2.962482481549955e-10
275000,0.0,0.0,80.0,0.0,3437,58,3.6595297903119217e-09
280000,0.0,0.0,80.0,0.0,3500,58,2.2540438404661245e-09
285000,0.0,0.0,80.0,0.0,3562,58,9.283006363602908e-09
290000,0.0,0.0,80.0,0.0,3625,58,2.3624711076308813e-09
295000,0.0,0.0,80.0,0.0,3687,58,6.1250768901288666e-09
300000,0.0,0.0,80.0,0.0,3750,58,3.5636742445888103e-09
305000,0.0,0.0,80.0,0.0,3812,58,5.17713338865633e-09
