step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon,mean_bonus,distinct_keys
0,0.0,0.0,100.0,0.0,0,1,,0.05,0.01,1.0
5000,0.0,0.0,100.0,0.0,50,16,6.142311121948296e-07,0.05,0.0004352053210440272,14.0
10000,0.0,0.0,100.0,0.0,100,22,3.615428738612536e-07,0.05,0.00035715436351763623,20.0
15000,0.0,0.0,100.0,0.0,150,22,4.82771326915099e-07,0.05,0.0002222584413201612,20.0
20000,0.0,0.0,100.0,0.0,200,23,9.34305504074473e-08,0.05,0.00025699102229923134,22.0
25000,0.0,0.0,100.0,0.0,250,23,2.0639767228658457e-07,0.05,0.00017022250452949588,22.0
30000,0.0,0.0,100.0,0.0,300,24,1.0063077127142606e-07,0.05,0.00025503987570484526,23.0
35000,0.0,0.0,100.0,0.0,350,24,1.0501560865350257e-07,0.05,0.00026538303527771695,23.0
40000,0.0,0.0,100.0,0.0,400,24,7.76876021291173e-08,0.05,0.0004629565810904734,23.0
45000,0.0,0.0,100.0,0.0,450,24,1.6876768427209754e-07,0.05,0.0002696599010194205,24.0
50000,0.0,0.0,100.0,0.0,500,24,9.925864219439973e-08,0.05,0.00035317319584498436,25.0
55000,0.0,0.0,100.0,0.0,550,26,8.737451651086303e-08,0.05,0.0003153357216433128,32.0
60000,0.0,0.0,100.0,0.0,600,26,2.1723414533880714e-07,0.05,0.00016880911426042438,32.0
65000,0.0,0.0,100.0,0.0,650,27,4.3214913603151217e-07,0.05,0.00031566662231965337,33.0
70000,0.0,0.0,100.0,0.0,700,28,9.165987080450577e-08,0.05,0.0002778877027828362,34.0
75000,0.0,0.0,100.0,0.0,750,29,4.138349822824239e-07,0.05,0.00026805333626424516,35.0
80000,0.0,0.0,100.0,0.0,800,31,3.0593727728955855e-07,0.05,0.00039539612359748967,37.0
85000,0.0,0.0,100.0,0.0,850,32,6.847322424619051e-07,0.05,0.00018760705221637576,38.0
90000,0.0,0.0,100.0,0.0,900,37,3.5334889503246814e-07,0.05,0.0007053718813763201,46.0
95000,0.0,0.0,100.0,0.0,950,49,6.854968432890018e-07,0.05,0.0004004837730019564,56.0
100000,0.0,0.0,100.0,0.0,1000,49,8.67073765675741e-07,0.05,0.00022270739096535134,56.0
105000,0.0,0.0,100.0,0.0,1050,49,6.396491016857908e-07,0.05,0.00017974866559060894,56.0
110000,0.0,0.0,100.0,0.0,1100,50,6.91173681843793e-07,0.05,0.0002530368997004615,57.0
115000,0.0,0.0,100.0,0.0,1150,50,1.4376341539446003e-07,0.05,0.0002718018378273903,57.0
120000,0.0,0.0,100.0,0.0,1200,53,2.2129873400444922e-07,0.05,0.00011078085349658945,60.0
125000,0.0,0.0,100.0,0.0,1250,53,2.8216143732606724e-07,0.05,0.00013954538887019796,60.0
130000,0.0,0.0,100.0,0.0,1300,53,2.0149352053522307e-07,0.05,0.0001583250882883191,60.0
135000,0.0,0.0,100.0,0.0,1350,53,3.7856386825296795e-07,0.05,0.0001385718080592298,60.0
