step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon
0,0.0,0.0,40.0,0.0,0,1,,1.0
5000,0.0,0.0,40.0,0.0,125,40,1.6842844274833624e-07,0.940625
10000,0.0,0.0,40.0,0.0,250,40,4.988697099861383e-08,0.88125
15000,0.0,0.0,40.0,0.0,375,40,2.43848781167344e-08,0.821875
20000,0.0,0.0,40.0,0.0,500,40,1.8504633203519916e-07,0.7625
25000,0.0,0.0,40.0,0.0,625,44,2.757554966592579e-07,0.703125
30000,0.0,0.0,40.0,0.0,750,44,1.5626860658812802e-06,0.64375
35000,0.0,0.0,40.0,0.0,875,48,5.270963470138668e-07,0.5843750000000001
40000,0.0,0.0,40.0,0.0,1001,49,1.4637955700891325e-06,0.525
45000,0.0,0.0,40.0,0.025249999999999995,1127,50,2.5252102204831317e-06,0.46562500000000007
50000,0.0,0.0,40.0,0.0,1255,55,4.306441041990183e-06,0.40625
55000,0.0,0.0,40.0,0.134125,1386,55,6.48710920359008e-06,0.34687500000000004
60000,0.0,0.0,40.0,0.355875,1555,56,4.908526170765981e-05,0.2875000000000001
65000,0.0,0.0,40.0,0.254625,1709,57,0.00037024420453235507,0.22812500000000002
70000,0.0,0.0,40.0,0.0,1850,58,8.902065746951848e-05,0.16875000000000007
75000,0.0,0.0,40.0,0.0,1975,60,0.0008455454371869564,0.109375
80000,0.0,0.0,40.0,0.0,2100,60,1.2993737982469611e-05,0.050000000000000044
85000,0.0,0.0,40.0,0.0,2225,65,1.9094937670161016e-05,0.050000000000000044
90000,0.0,0.0,40.0,0.0,2350,65,5.39736402060953e-06,0.050000000000000044
95000,0.0,0.0,40.0,0.0,2475,65,1.0015671250585001e-05,0.050000000000000044
100000,0.0,0.0,40.0,0.0,2600,65,1.306795729760779e-05,0.050000000000000044
105000,0.0,0.0,40.0,0.0,2725,65,1.1669646482914686e-05,0.050000000000000044
110000,0.0,0.0,40.0,0.0,2850,65,2.611606578284409e-05,0.050000000000000044
115000,0.0,0.0,40.0,0.0,2975,65,1.1678587725327816e-05,0.050000000000000044
120000,0.0,0.0,40.0,0.0,3100,65,1.2085774869774468e-06,0.050000000000000044
125000,0.0,0.0,40.0,0.0,3225,65,6.832039161963621e-06,0.050000000000000044
130000,0.0,0.0,40.0,0.0,3350,65,4.646951310860459e-06,0.050000000000000044
135000,0.0,0.0,40.0,0.184125,3481,65,9.417537512490526e-06,0.050000000000000044
140000,0.7975,0.0,9.0,0.7558749999999999,3795,65,2.4802598090900574e-06,0.050000000000000044
145000,0.7975,0.0,9.0,0.7884999999999999,4272,65,3.509906309773214e-05,0.050000000000000044
150000,0.0,0.0,40.0,0.0,4456,65,4.0177252230932936e-05,0.050000000000000044
155000,0.0,0.0,40.0,0.03474999999999999,4584,65,7.818525773473084e-05,0.050000000000000044
160000,0.0,0.0,40.0,0.209375,4733,65,8.960810373537242e-05,0.050000000000000044
165000,0.0,0.0,40.0,0.113375,4887,65,4.3880358134629205e-05,0.050000000000000044
170000,0.0,0.0,40.0,0.6148749999999998,5055,65,8.116951903502923e-06,0.050000000000000044
175000,0.0,0.0,40.0,0.269,5302,65,1.8433709556120448e-05,0.050000000000000044
180000,0.0,0.0,40.0,0.712125,5510,65,2.015379686781671e-05,0.050000000000000044
185000,0.0,0.0,40.0,0.564875,5776,65,9.485561167821288e-05,0.050000000000000044
190000,0.7975,0.0,9.0,0.6114999999999999,6110,65,8.798084309091792e-05,0.050000000000000044
195000,0.0,0.0,40.0,0.015125,6298,65,0.0001363120536552742,0.050000000000000044
200000,0.0,0.0,40.0,0.45199999999999996,6484,65,0.004260762594640255,0.050000000000000044
205000,0.7975,0.0,9.0,0.4755,6708,65,0.00012524462363217026,0.050000000000000044
210000,0.0,0.0,40.0,0.29474999999999996,6890,65,2.8604790713870898e-05,0.050000000000000044
215000,0.0,0.0,40.0,0.30825,7066,65,2.591200973256491e-05,0.050000000000000044
220000,0.7525,0.0,11.0,0.598,7320,65,0.00011000173253705725,0.050000000000000044
225000,0.0,0.0,40.0,0.41550000000000004,7590,65,2.2451447875937447e-05,0.050000000000000044
230000,0.7975,0.0,9.0,0.707,7922,65,0.0013386759674176574,0.050000000000000044
235000,0.0,0.0,40.0,0.38125,8148,65,0.00012231565779075027,0.050000000000000044
240000,0.0,0.0,40.0,0.466125,8344,65,0.002219059271737933,0.050000000000000044
245000,0.0,0.0,40.0,0.0,8542,65,2.2596403141506016e-05,0.050000000000000044
250000,0.7975,0.0,9.0,0.437375,8702,65,3.558536263881251e-05,0.050000000000000044
255000,0.0,0.0,40.0,0.304375,8884,65,0.0001372937113046646,0.050000000000000044
260000,0.0,0.0,40.0,0.0,9037,65,3.84134727937635e-06,0.050000000000000044
265000,0.0,0.0,40.0,0.6553749999999999,9224,65,5.420349680207437e-06,0.050000000000000044
270000,0.0,0.0,40.0,0.5407499999999998,9517,65,5.7978984841611236e-05,0.050000000000000044
275000,0.7975,0.0,9.0,0.6991249999999999,9892,65,0.0020015500485897064,0.050000000000000044
280000,0.0,0.0,40.0,0.40975,10255,65,0.00016711271018721163,0.050000000000000044
285000,0.7975,0.0,9.0,0.7851249999999999,10653,65,0.00012400990817695856,0.050000000000000044
290000,0.0,0.0,40.0,0.7486249999999999,10936,65,0.0001358280860586092,0.050000000000000044
295000,0.7975,0.0,9.0,0.35425000000000006,11094,65,7.001043559284881e-05,0.050000000000000044
300000,0.0,0.0,40.0,0.27625,11232,65,0.00023148306354414672,0.050000000000000044
305000,0.0,0.0,40.0,0.398,11416,65,0.00016428153321612626,0.050000000000000044
310000,0.7975,0.0,9.0,0.6648749999999999,11710,65,7.168243428168353e-06,0.050000000000000044
315000,0.7525,0.0,11.0,0.7828749999999999,11977,65,0.0002072701754514128,0.050000000000000044
320000,0.7975,0.0,9.0,0.5547499999999999,12363,65,2.48877167905448e-05,0.050000000000000044
325000,0.0,0.0,40.0,0.7164999999999998,12752,65,0.00020119539112783968,0.050000000000000044
330000,0.0,0.0,40.0,0.6047499999999998,13083,65,0.002177570713683963,0.050000000000000044
335000,0.7975,0.0,9.0,0.7176249999999998,13321,65,7.135559826565441e-06,0.050000000000000044
340000,0.7975,0.0,9.0,0.7941249999999999,13674,65,5.491951469593914e-06,0.050000000000000044
345000,0.0,0.0,40.0,0.5626249999999999,14049,65,1.3568253962148447e-05,0.050000000000000044
350000,0.7975,0.0,9.0,0.630625,14456,65,5.911278549319832e-06,0.050000000000000044
355000,0.0,0.0,40.0,0.7351249999999999,14804,65,8.65929905558005e-05,0.050000000000000044
360000,0.7975,0.0,9.0,0.7126249999999998,15202,65,8.609642827650532e-05,0.050000000000000044
365000,0.7975,0.0,9.0,0.7873749999999998,15602,65,4.650136179407127e-05,0.050000000000000044
370000,0.7975,0.0,9.0,0.6378749999999999,15878,65,1.7090202163672075e-05,0.050000000000000044
375000,0.0,0.0,40.0,0.560375,16132,65,6.201803626026958e-05,0.050000000000000044
380000,0.0,0.0,40.0,0.5245,16447,65,3.227264096494764e-05,0.050000000000000044
385000,0.0,0.0,40.0,0.6187499999999999,16774,65,0.00011606923362705857,0.050000000000000044
390000,0.0,0.0,40.0,0.7569999999999999,17152,65,0.00025121215730905533,0.050000000000000044
395000,0.7975,0.0,9.0,0.6783749999999998,17531,65,6.187606777530164e-05,0.050000000000000044
