step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,temperature
0,0.0,0.0,250.0,0.0,0,1,,0.1
5000,0.0,0.0,250.0,0.0,20,21,1.7900286763961049e-07,0.08659643233600654
10000,0.0,0.0,250.0,0.0,40,23,1.1386923404188565e-07,0.07498942093324559
15000,0.0,0.0,250.0,0.04294,60,24,4.152017041292311e-08,0.06493816315762113
20000,0.0,0.0,250.0,0.0,80,24,4.09420999858412e-06,0.05623413251903491
25000,0.0,0.0,250.0,0.04055999999999999,101,24,5.072758426649671e-07,0.04869675251658631
30000,0.0,0.0,250.0,0.0,121,24,1.997580909574026e-07,0.042169650342858224
35000,0.0,0.0,250.0,0.031779999999999996,141,24,9.584146027918905e-06,0.036517412725483776
40000,0.0,0.0,250.0,0.02318,162,24,1.2512873581727035e-05,0.0316227766016838
45000,0.0,0.0,250.0,0.00842,182,24,1.048446961249283e-06,0.027384196342643614
50000,0.0,0.0,250.0,0.02894,202,24,5.06360663621308e-07,0.023713737056616554
55000,0.0,0.0,250.0,0.03376,223,24,3.2787352211016696e-06,0.020535250264571463
60000,0.0,0.0,250.0,0.04686,244,24,2.1106880012666807e-06,0.01778279410038923
65000,0.0,0.0,250.0,0.0,264,24,3.04776676784968e-06,0.01539926526059492
70000,0.0,0.0,250.0,0.20231999999999997,288,24,1.8056460930893081e-06,0.01333521432163324
75000,0.0,0.0,250.0,0.09001999999999999,310,24,3.77377618860919e-05,0.011547819846894583
80000,0.0,0.0,250.0,0.19904,334,24,0.0001355677959509194,0.010000000000000002
85000,0.0,0.0,250.0,0.20102000000000003,359,24,1.5849695046199486e-05,0.008659643233600654
90000,0.0,0.0,250.0,0.0,379,24,4.0804741729516536e-05,0.007498942093324558
95000,0.0,0.0,250.0,0.0,399,24,0.00017115486843977123,0.006493816315762114
100000,0.0,0.0,250.0,0.0,419,24,7.450279372278601e-05,0.005623413251903492
105000,0.0,0.0,250.0,0.0,439,24,0.0006548967794515193,0.004869675251658632
110000,0.0,0.0,250.0,0.0,459,24,0.00030352032626979053,0.004216965034285823
115000,0.0,0.0,250.0,0.0,479,24,6.443547317758203e-05,0.003651741272548377
120000,0.0,0.0,250.0,0.0,499,24,0.00039050457417033613,0.0031622776601683794
125000,0.0,0.0,250.0,0.0,519,24,0.000263993046246469,0.0027384196342643617
130000,0.0,0.0,250.0,0.0,539,24,0.00015678821364417672,0.0023713737056616554
135000,0.0,0.0,250.0,0.0,559,24,2.310626041435171e-05,0.002053525026457146
140000,0.0,0.0,250.0,0.0,579,24,3.7251222238410264e-05,0.001778279410038923
145000,0.0,0.0,250.0,0.0,599,24,0.000140540418215096,0.001539926526059492
150000,0.0,0.0,250.0,0.0,619,24,2.4082648451440036e-05,0.001333521432163324
155000,0.0,0.0,250.0,0.0,639,24,2.6738511223811656e-05,0.0011547819846894581
160000,0.0,0.0,250.0,0.0,659,24,7.127119715732988e-06,0.001
165000,0.0,0.0,250.0,0.0,679,24,1.5582150808768347e-05,0.001
170000,0.0,0.0,250.0,0.0,699,24,9.186142960970756e-06,0.001
175000,0.0,0.0,250.0,0.0,719,24,9.492151548329275e-06,0.001
180000,0.0,0.0,250.0,0.0,739,24,6.927847152837785e-06,0.001
185000,0.0,0.0,250.0,0.0,759,24,1.3834461469741655e-06,0.001
190000,0.0,0.0,250.0,0.0,779,24,4.192209416942205e-06,0.001
195000,0.0,0.0,250.0,0.0,799,24,1.3192871847422794e-05,0.001
200000,0.0,0.0,250.0,0.0,819,24,2.322848104086006e-06,0.001
205000,0.0,0.0,250.0,0.0,839,24,3.893725533998804e-06,0.001
210000,0.0,0.0,250.0,0.0,859,24,6.15156352523627e-07,0.001
215000,0.0,0.0,250.0,0.0,879,24,2.942304263342521e-06,0.001
220000,0.0,0.0,250.0,0.0,899,24,6.356108883665001e-07,0.001
225000,0.0,0.0,250.0,0.0,919,24,1.1406060593799339e-06,0.001
230000,0.0,0.0,250.0,0.0,939,24,5.6427569461448e-07,0.001
235000,0.0,0.0,250.0,0.0,959,24,8.430640718870563e-07,0.001
240000,0.0,0.0,250.0,0.0,979,24,1.1708790452757967e-06,0.001
245000,0.0,0.0,250.0,0.0,999,24,8.13900896901032e-07,0.001
250000,0.0,0.0,250.0,0.0,1019,24,4.322912445786642e-07,0.001
255000,0.0,0.0,250.0,0.0,1039,24,3.4481436728128756e-07,0.001
260000,0.0,0.0,250.0,0.0,1059,24,9.619885332767808e-08,0.001
265000,0.0,0.0,250.0,0.0,1079,24,2.2938397137295397e-07,0.001
270000,0.0,0.0,250.0,0.0,1099,24,8.516876732755918e-07,0.001
275000,0.0,0.0,250.0,0.0,1119,24,6.632213711554868e-08,0.001
280000,0.0,0.0,250.0,0.0,1139,24,3.2638408242746664e-07,0.001
285000,0.0,0.0,250.0,0.0,1159,24,7.519887645912604e-08,0.001
290000,0.0,0.0,250.0,0.0,1179,24,6.764505400269627e-08,0.001
295000,0.0,0.0,250.0,0.0,1199,24,2.2158386059345503e-07,0.001
300000,0.0,0.0,250.0,0.0,1219,24,1.393645874259164e-07,0.001
305000,0.0,0.0,250.0,0.0,1239,24,1.841030723426229e-07,0.001
310000,0.0,0.0,250.0,0.0,1259,24,7.11130994091036e-08,0.001
315000,0.0,0.0,250.0,0.0,1279,24,1.1069730732060634e-07,0.001
320000,0.0,0.0,250.0,0.0,1299,24,1.1201076688394096e-07,0.001
325000,0.0,0.0,250.0,0.0,1319,24,8.163210196698856e-08,0.001
330000,0.0,0.0,250.0,0.0,1339,24,1.6221108012359764e-07,0.001
335000,0.0,0.0,250.0,0.0,1359,24,3.886623858306848e-07,0.001
340000,0.0,0.0,250.0,0.0,1379,24,3.038862530502229e-07,0.001
345000,0.0,0.0,250.0,0.0,1399,24,5.889178567031195e-08,0.001
350000,0.0,0.0,250.0,0.0,1419,24,3.681620910356287e-07,0.001
355000,0.0,0.0,250.0,0.0,1439,24,3.286352523446112e-07,0.001
360000,0.0,0.0,250.0,0.0,1459,24,1.1773710895113254e-07,0.001
365000,0.0,0.0,250.0,0.0,1479,24,1.7093435644710553e-07,0.001
370000,0.0,0.0,250.0,0.0,1499,24,7.105666810502953e-08,0.001
375000,0.0,0.0,250.0,0.0,1519,24,1.2638648172469402e-07,0.001
380000,0.0,0.0,250.0,0.0,1539,24,5.267548885967699e-07,0.001
385000,0.0,0.0,250.0,0.0,1559,24,1.014081902894759e-07,0.001
390000,0.0,0.0,250.0,0.0,1579,24,1.284850839056162e-07,0.001
395000,0.0,0.0,250.0,0.0,1599,24,6.974956079375261e-08,0.001
