step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,epsilon
230000,0.0,0.0,0.0,230,196,2.4540392828953372e-08,0.050000000000000044
235000,0.0,0.0,0.0,235,196,1.1328245896891076e-08,0.050000000000000044
240000,0.0,0.0,0.0,240,196,2.4775978602065152e-08,0.050000000000000044
245000,0.0,0.0,0.0,245,196,1.433949670115453e-08,0.050000000000000044
250000,0.0,0.0,0.0,250,196,3.306512041945098e-08,0.050000000000000044
255000,0.0,0.0,0.0,255,196,8.104240056816536e-10,0.050000000000000044
260000,0.0,0.0,0.0,260,196,2.0981184789548024e-08,0.050000000000000044
265000,0.0,0.0,0.0,265,196,2.7791771106677743e-09,0.050000000000000044
270000,0.0,0.0,0.0,270,196,6.450151079917532e-09,0.050000000000000044
275000,0.0,0.0,0.0,275,196,1.9924609517829595e-08,0.050000000000000044
280000,0.0,0.0,0.0,280,196,1.4261672731663566e-08,0.050000000000000044
285000,0.0,0.0,0.0,285,196,2.0445150017422975e-09,0.050000000000000044
290000,0.0,0.0,0.0,290,196,7.13987891032275e-09,0.050000000000000044
295000,0.0,0.0,0.0,295,196,6.318136769323246e-08,0.050000000000000044
300000,0.0,0.0,0.0,300,196,4.579812529215133e-09,0.050000000000000044
305000,0.0,0.0,0.0,305,196,6.196581026074455e-10,0.050000000000000044
310000,0.0,0.0,0.0,310,196,6.308822797507219e-09,0.050000000000000044
315000,0.0,0.0,0.0,315,196,2.245850172499786e-09,0.050000000000000044
320000,0.0,0.0,0.0,320,196,4.479633552989526e-09,0.050000000000000044
325000,0.0,0.0,0.0,325,196,1.719070219508012e-08,0.050000000000000044
330000,0.0,0.0,0.0,330,196,1.9862833156025772e-08,0.050000000000000044
335000,0.0,0.0,0.0,335,196,2.0080500462427153e-07,0.050000000000000044
340000,0.0,0.0,0.0,340,196,5.2082245183271425e-09,0.050000000000000044
345000,0.0,0.0,0.0,345,196,7.093194920315682e-10,0.050000000000000044
350000,0.0,0.0,0.0,350,196,6.0158598103043914e-09,0.050000000000000044
355000,0.0,0.0,0.0,355,196,2.0788398558124754e-08,0.050000000000000044
360000,0.0,0.0,0.0,360,196,5.9729248214068775e-09,0.050000000000000044
365000,0.0,0.0,0.0,365,196,2.5146411619658693e-09,0.050000000000000044
370000,0.0,0.0,0.0,370,196,2.9241815635572266e-09,0.050000000000000044
375000,0.0,0.0,0.0,375,196,1.0553549145697616e-08,0.050000000000000044
380000,0.0,0.0,0.0,380,196,2.752557071161732e-09,0.050000000000000044
385000,0.0,0.0,0.0,385,196,7.530325807358906e-10,0.050000000000000044
390000,0.0,0.0,0.0,390,196,3.015929284089225e-09,0.050000000000000044
395000,0.0,0.0,0.0,395,196,7.397005230558307e-10,0.050000000000000044
