step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,temperature
0,0.0,0.0,1000.0,0.0,0,1,,0.1
5000,0.0,0.0,1000.0,0.0,5,160,4.219660922899493e-07,0.08659643233600654
10000,0.0,0.0,1000.0,0.0,10,160,2.1571752029103664e-07,0.07498942093324559
15000,0.0,0.0,1000.0,0.0,15,160,7.526367795662736e-08,0.06493816315762113
20000,0.0,0.0,1000.0,0.0,20,163,1.0121044624611386e-07,0.05623413251903491
25000,0.0,0.0,1000.0,0.0,25,163,7.729353512786474e-08,0.04869675251658631
30000,0.0,0.0,1000.0,0.0,30,163,1.67689364616308e-07,0.042169650342858224
35000,0.0,0.0,1000.0,0.0,35,163,3.437012594531552e-07,0.036517412725483776
40000,0.0,0.0,1000.0,0.0,40,163,3.898955114323144e-08,0.0316227766016838
45000,0.0,0.0,1000.0,0.0,45,163,1.1669097688127295e-07,0.027384196342643614
50000,0.0,0.0,1000.0,0.0,50,163,4.739820980148579e-08,0.023713737056616554
55000,0.0,0.0,1000.0,0.0,55,163,1.8822962744025062e-08,0.020535250264571463
60000,0.0,0.0,1000.0,0.0,60,163,6.056490065020625e-08,0.01778279410038923
65000,0.0,0.0,1000.0,0.0,65,163,2.0187682991945621e-07,0.01539926526059492
70000,0.0,0.0,1000.0,0.0,70,163,6.488434678431076e-08,0.01333521432163324
75000,0.0,0.0,1000.0,0.0,75,163,6.80892320303883e-09,0.011547819846894583
80000,0.0,0.0,1000.0,0.0,80,163,3.1264494282368105e-07,0.010000000000000002
85000,0.0,0.0,1000.0,0.0,85,163,1.966377816131626e-08,0.008659643233600654
90000,0.0,0.0,1000.0,0.0,90,163,5.2131383654341334e-08,0.007498942093324558
95000,0.0,0.0,1000.0,0.0,95,163,5.39363114171465e-08,0.006493816315762114
100000,0.0,0.0,1000.0,0.0,100,163,3.827282455404202e-07,0.005623413251903492
105000,0.0,0.0,1000.0,0.0,105,163,6.159902810054518e-09,0.004869675251658632
110000,0.0,0.0,1000.0,0.0,110,163,8.408120422132015e-09,0.004216965034285823
115000,0.0,0.0,1000.0,0.0,115,163,4.3502484459168045e-07,0.003651741272548377
120000,0.0,0.0,1000.0,0.0,120,163,1.8975924831465818e-08,0.0031622776601683794
125000,0.0,0.0,1000.0,0.0,125,163,7.0365806514871565e-09,0.0027384196342643617
130000,0.0,0.0,1000.0,0.0,130,163,1.6433652660907683e-08,0.0023713737056616554
135000,0.0,0.0,1000.0,0.0,135,163,7.578904615002102e-08,0.002053525026457146
140000,0.0,0.0,1000.0,0.0,140,163,6.786007844539199e-08,0.001778279410038923
145000,0.0,0.0,1000.0,0.0,145,163,2.4605924409115687e-08,0.001539926526059492
150000,0.0,0.0,1000.0,0.0,150,163,3.3414089273264835e-09,0.001333521432163324
155000,0.0,0.0,1000.0,0.0,155,163,3.1750187190482393e-07,0.0011547819846894581
160000,0.0,0.0,1000.0,0.0,160,163,1.887104028597264e-09,0.001
165000,0.0,0.0,1000.0,0.0,165,163,1.9173069798483766e-09,0.001
170000,0.0,0.0,1000.0,0.0,170,163,7.718496952691112e-09,0.001
175000,0.0,0.0,1000.0,0.0,175,163,1.7637249882795913e-08,0.001
180000,0.0,0.0,1000.0,0.0,180,163,1.697458174021449e-08,0.001
