step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,epsilon
125000,0.955,0.0,0.9396999999999999,8587,32,0.00016953281010501087,0.050000000000000044
130000,0.955,0.0,0.9513999999999998,9309,32,7.360464223893359e-05,0.050000000000000044
135000,0.955,0.0,0.9145,10049,32,1.619808972463943e-05,0.050000000000000044
140000,0.0,0.0,0.9469,10632,32,0.0013389751547947526,0.050000000000000044
145000,0.955,0.0,0.9478,11257,32,2.546347059251275e-05,0.050000000000000044
150000,0.955,0.0,0.9531999999999996,11855,32,9.952484106179327e-05,0.050000000000000044
155000,0.0,0.0,0.9324999999999999,12293,32,0.012809953652322292,0.050000000000000044
160000,0.955,0.0,0.9153999999999998,12875,32,0.00021950610971543938,0.050000000000000044
165000,0.955,0.0,0.91945,13343,32,0.0035258831921964884,0.050000000000000044
170000,0.955,0.0,0.9482499999999998,14100,32,0.0035671391524374485,0.050000000000000044
175000,0.0,0.0,0.95185,14748,32,0.0007478790357708931,0.050000000000000044
180000,0.955,0.0,0.9297999999999998,15546,32,0.00010100488725584,0.050000000000000044
185000,0.0,0.0,0.8370499999999998,16001,32,0.0009197827894240618,0.050000000000000044
190000,0.955,0.0,0.9072999999999997,16609,32,9.691765444586053e-05,0.050000000000000044
195000,0.955,0.0,0.9513999999999996,17405,32,1.1744210496544838e-05,0.050000000000000044
200000,0.0,0.0,0.9140499999999998,18030,32,0.0016332758823409677,0.050000000000000044
205000,0.0,0.0,0.9122499999999997,18793,32,8.464853453915566e-05,0.050000000000000044
210000,0.0,0.0,0.4704499999999999,19266,32,8.761889330344275e-05,0.050000000000000044
215000,0.0,0.0,0.9225999999999998,19694,32,2.4523942556697875e-05,0.050000000000000044
220000,0.955,0.0,0.9225999999999998,20432,32,1.670848905632738e-05,0.050000000000000044
225000,0.955,0.0,0.9545499999999999,21222,32,0.00011610511865001172,0.050000000000000044
230000,0.955,0.0,0.9311499999999999,22078,32,2.2605621779803187e-05,0.050000000000000044
235000,0.955,0.0,0.9194499999999998,22834,32,1.9040806364500895e-05,0.050000000000000044
240000,0.0,0.0,0.9095499999999997,23576,32,4.959688521921635e-05,0.050000000000000044
245000,0.955,0.0,0.9536499999999997,24288,32,9.41651887842454e-06,0.050000000000000044
250000,0.955,0.0,0.9527499999999997,25129,32,5.030690590501763e-05,0.050000000000000044
255000,0.0,0.0,0.94105,25912,32,0.002636670134961605,0.050000000000000044
260000,0.955,0.0,0.9536499999999997,26770,32,1.9427041479502805e-05,0.050000000000000044
265000,0.955,0.0,0.9545499999999997,27540,32,3.281404588051373e-06,0.050000000000000044
270000,0.0,0.0,0.8469999999999999,28192,32,2.684436913114041e-05,0.050000000000000044
275000,0.955,0.0,0.9491499999999997,28887,32,0.002382881473749876,0.050000000000000044
280000,0.0,0.0,0.8074,29511,32,6.348635361064225e-05,0.050000000000000044
285000,0.955,0.0,0.9486999999999997,30209,32,5.627360224025324e-05,0.050000000000000044
290000,0.955,0.0,0.9513999999999998,31113,32,6.484534878836712e-06,0.050000000000000044
295000,0.0,0.0,0.6762999999999999,31669,32,3.803797153523192e-05,0.050000000000000044
300000,0.955,0.0,0.9446499999999997,32295,32,1.0734571333159693e-05,0.050000000000000044
305000,0.955,0.0,0.9527499999999998,33108,32,1.8495764379622415e-05,0.050000000000000044
310000,0.955,0.0,0.9486999999999997,33882,32,1.286334554606583e-05,0.050000000000000044
315000,0.955,0.0,0.93835,34623,32,0.00020632696396205574,0.050000000000000044
320000,0.955,0.0,0.9545499999999997,35444,32,1.82752737600822e-05,0.050000000000000044
325000,0.955,0.0,0.9473499999999998,36345,32,0.00011114860535599291,0.050000000000000044
330000,0.955,0.0,0.9545499999999997,37244,32,1.3081382348900661e-05,0.050000000000000044
335000,0.955,0.0,0.9509499999999995,38100,32,1.9649880414362997e-05,0.050000000000000044
340000,0.955,0.0,0.9531999999999998,38983,32,0.0007157717482186854,0.050000000000000044
345000,0.955,0.0,0.9482499999999996,39747,32,1.7589858543942682e-05,0.050000000000000044
350000,0.955,0.0,0.9545499999999997,40557,32,5.4089937293611e-06,0.050000000000000044
355000,0.955,0.0,0.9414999999999998,41339,32,5.4836160416016355e-05,0.050000000000000044
360000,0.955,0.0,0.9540999999999997,42199,32,0.00013779460277874023,0.050000000000000044
365000,0.955,0.0,0.9410499999999997,43016,32,8.873542537912726e-05,0.050000000000000044
370000,0.955,0.0,0.9522999999999998,43845,32,1.6517335097887553e-05,0.050000000000000044
375000,0.955,0.0,0.9504999999999997,44678,32,6.11209270573454e-06,0.050000000000000044
380000,0.955,0.0,0.9540999999999997,45511,32,8.704212086740881e-05,0.050000000000000044
385000,0.955,0.0,0.94195,46416,32,2.7013989893021062e-05,0.050000000000000044
390000,0.0,0.0,0.9306999999999999,47227,32,2.1450594431371428e-05,0.050000000000000044
395000,0.955,0.0,0.9540999999999998,48056,32,0.0002184571058023721,0.050000000000000044
