step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon,mean_bonus,distinct_keys
0,0.0,0.0,250.0,0.0,0,1,,0.05,0.01,1.0
5000,0.0,0.0,250.0,0.0,20,11,1.8581653421279043e-05,0.05,0.00041632355102665314,19.0
10000,0.0,0.0,250.0,0.0,40,12,8.266326858574757e-07,0.05,0.0010057641968281917,21.0
15000,0.0,0.0,250.0,0.0,60,12,5.1172548864997225e-08,0.05,0.0003394210274507381,23.0
20000,0.0,0.0,250.0,0.0,80,12,3.702567141772306e-07,0.05,0.00042783085920605285,26.0
25000,0.0,0.0,250.0,0.0,100,12,1.8745905094874615e-07,0.05,0.00029276687205425874,30.0
30000,0.0,0.0,250.0,0.0,120,12,1.2807017810700927e-06,0.05,0.000250658350296419,37.0
35000,0.0,0.0,250.0,0.0,140,12,9.978821680078909e-08,0.05,0.00019471437135944094,38.0
40000,0.0,0.0,250.0,0.0,160,12,1.6337271517841145e-06,0.05,0.0006280321230129885,39.0
45000,0.0,0.0,250.0,0.0,180,12,1.7396569091943093e-06,0.05,0.00035309137700056427,39.0
50000,0.0,0.0,250.0,0.0,200,12,1.49782664493614e-07,0.05,0.0002290475885865061,39.0
55000,0.0,0.0,250.0,0.0,220,12,1.2810258454010182e-07,0.05,0.00021822375714795612,42.0
60000,0.0,0.0,250.0,0.0,240,12,6.337685221069478e-08,0.05,0.00025936693601233873,42.0
65000,0.0,0.0,250.0,0.0,260,12,6.863416501801112e-07,0.05,0.00022182903056594788,42.0
70000,0.0,0.0,250.0,0.0,280,12,3.19527629244476e-07,0.05,0.0002846839010784923,43.0
75000,0.0,0.0,250.0,0.0,300,12,8.565753546463384e-07,0.05,0.0003597397363121587,43.0
80000,0.0,0.0,250.0,0.0,320,12,8.50072368052679e-08,0.05,0.00020961094868072506,43.0
85000,0.0,0.0,250.0,0.0,340,12,2.3314905206461845e-07,0.05,0.00019451337229867683,43.0
90000,0.0,0.0,250.0,0.0,360,12,6.657103313045809e-07,0.05,0.00029961344545305823,44.0
95000,0.0,0.0,250.0,0.0,380,15,1.9922258331916964e-07,0.05,0.00020064744699699772,51.0
100000,0.0,0.0,250.0,0.0,400,16,1.5639960793123464e-07,0.05,0.0003722500588276399,55.0
105000,0.0,0.0,250.0,0.0,420,16,8.757088920674505e-08,0.05,0.000253283221517934,58.0
110000,0.0,0.0,250.0,0.0,440,16,2.9870426487832447e-07,0.05,0.0004965452937030078,62.0
115000,0.0,0.0,250.0,0.01472,460,19,4.769385668623727e-07,0.05,0.0003180587735814342,65.0
120000,0.0,0.0,250.0,0.0,480,19,1.4314538248072495e-06,0.05,0.0004169945545154732,69.0
125000,0.0,0.0,250.0,0.0,500,19,6.42272482309636e-07,0.05,0.00022133777139640923,69.0
130000,0.0,0.0,250.0,0.0,520,19,2.9975933557579992e-06,0.05,0.00021434585960741586,70.0
135000,0.0,0.0,250.0,0.006259999999999999,540,19,1.81476735860997e-07,0.05,0.00029004575118955127,70.0
140000,0.0,0.0,250.0,0.0,560,21,2.615969094676984e-07,0.05,0.0006036820796735287,75.0
145000,0.0,0.0,250.0,0.05158,581,21,7.20923878816393e-07,0.05,0.00028530562110477196,80.0
150000,0.0,0.0,250.0,0.1131,604,21,4.395373252918944e-06,0.05,0.00014594107290215108,81.0
155000,0.0,0.0,250.0,0.0,624,21,3.1371303066407563e-07,0.05,0.00013384245687004774,81.0
160000,0.0,0.0,250.0,0.0311,644,21,2.460263885950553e-07,0.05,0.00015535121894832624,81.0
165000,0.0,0.0,250.0,0.0,664,21,4.653846019664343e-07,0.05,0.00014705610709964587,81.0
170000,0.0,0.0,250.0,0.63224,697,21,3.0170645004545804e-07,0.05,0.0001333808851935663,81.0
175000,0.0,0.0,250.0,0.55236,743,22,1.3883519386581611e-05,0.05,0.00019496325536763536,82.0
180000,0.0,0.0,250.0,0.6199600000000001,780,22,6.079479589971015e-06,0.05,0.00010814688717085504,82.0
185000,0.0,0.0,250.0,0.17958,806,22,3.9879891119198874e-05,0.05,0.00010368041473392802,82.0
190000,0.0,0.0,250.0,0.19290000000000002,830,22,6.996786396484822e-05,0.05,0.0002425358796330743,82.0
195000,0.0,0.0,250.0,0.42114,864,22,0.00023288806551136076,0.05,0.00026477156859338214,84.0
