step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,temperature
0,0.0,0.0,100.0,0.0,0,1,,0.1
5000,0.0,0.0,100.0,0.0,50,52,2.119583655257884e-07,0.08659643233600654
10000,0.0,0.0,100.0,0.0,100,52,7.805711987884933e-08,0.07498942093324559
15000,0.0,0.0,100.0,0.0,150,56,1.9880550894413318e-07,0.06493816315762113
20000,0.0,0.0,100.0,0.0,200,57,5.7988103208117536e-08,0.05623413251903491
25000,0.0,0.0,100.0,0.0,250,57,1.2490789913499611e-07,0.04869675251658631
30000,0.0,0.0,100.0,0.0,300,57,1.04728798078213e-07,0.042169650342858224
35000,0.0,0.0,100.0,0.0,350,57,7.862368534006237e-08,0.036517412725483776
40000,0.0,0.0,100.0,0.0,400,58,9.259556321694618e-08,0.0316227766016838
45000,0.0,0.0,100.0,0.0,450,58,3.184155161761737e-07,0.027384196342643614
50000,0.0,0.0,100.0,0.0,500,60,1.2715531738649588e-07,0.023713737056616554
55000,0.0,0.0,100.0,0.0,550,64,2.6135335673416193e-08,0.020535250264571463
60000,0.0,0.0,100.0,0.0,600,64,1.5652705087632057e-07,0.01778279410038923
65000,0.0,0.0,100.0,0.0,650,64,1.6979635120151215e-06,0.01539926526059492
70000,0.0,0.0,100.0,0.0,700,64,4.78297179640208e-09,0.01333521432163324
75000,0.0,0.0,100.0,0.0,750,64,6.3963305763081735e-09,0.011547819846894583
80000,0.0,0.0,100.0,0.0,800,64,1.42358288712785e-07,0.010000000000000002
85000,0.0,0.0,100.0,0.0,850,64,1.2962022566398446e-08,0.008659643233600654
90000,0.0,0.0,100.0,0.0,900,64,2.5951447923944215e-07,0.007498942093324558
95000,0.0,0.0,100.0,0.0,950,64,2.360247322030773e-07,0.006493816315762114
100000,0.0,0.0,100.0,0.0,1000,64,1.7080635572597203e-08,0.005623413251903492
105000,0.0,0.0,100.0,0.0,1050,64,1.7961505704988667e-07,0.004869675251658632
110000,0.0,0.0,100.0,0.0,1100,64,1.4438917617098923e-08,0.004216965034285823
115000,0.0,0.0,100.0,0.0,1150,65,4.5521932889869277e-08,0.003651741272548377
120000,0.0,0.0,100.0,0.0,1200,65,1.1066035909834682e-07,0.0031622776601683794
125000,0.0,0.0,100.0,0.0,1250,65,2.6551136400598807e-08,0.0027384196342643617
130000,0.0,0.0,100.0,0.0,1300,65,6.136733787798221e-09,0.0023713737056616554
135000,0.0,0.0,100.0,0.0,1350,65,1.300226415423822e-07,0.002053525026457146
140000,0.0,0.0,100.0,0.0,1400,65,1.8534198176212158e-08,0.001778279410038923
145000,0.0,0.0,100.0,0.0,1450,65,5.16317015808454e-07,0.001539926526059492
150000,0.0,0.0,100.0,0.0,1500,65,3.5312388035890763e-07,0.001333521432163324
155000,0.0,0.0,100.0,0.0,1550,65,2.055045555948709e-08,0.0011547819846894581
160000,0.0,0.0,100.0,0.0,1600,65,3.316767660521691e-08,0.001
165000,0.0,0.0,100.0,0.0,1650,65,4.328120972729721e-09,0.001
170000,0.0,0.0,100.0,0.0,1700,65,2.5477081067037943e-07,0.001
175000,0.0,0.0,100.0,0.0,1750,65,8.843630716626194e-09,0.001
180000,0.0,0.0,100.0,0.0,1800,65,2.8483566616444023e-09,0.001
185000,0.0,0.0,100.0,0.0,1850,65,1.2954147976529384e-08,0.001
190000,0.0,0.0,100.0,0.0,1900,65,5.7328861657879315e-09,0.001
195000,0.0,0.0,100.0,0.0,1950,65,2.4489921202075493e-08,0.001
200000,0.0,0.0,100.0,0.0,2000,65,1.1082259732120292e-07,0.001
205000,0.0,0.0,100.0,0.0,2050,65,5.0356884884195097e-08,0.001
210000,0.0,0.0,100.0,0.0,2100,65,2.1683106421477305e-09,0.001
215000,0.0,0.0,100.0,0.0,2150,65,7.82992781722669e-09,0.001
220000,0.0,0.0,100.0,0.0,2200,65,9.256739375018697e-09,0.001
225000,0.0,0.0,100.0,0.0,2250,65,8.283983277124207e-09,0.001
230000,0.0,0.0,100.0,0.0,2300,65,5.8285504422883605e-08,0.001
235000,0.0,0.0,100.0,0.0,2350,65,1.299351453099007e-07,0.001
240000,0.0,0.0,100.0,0.0,2400,65,2.3118485614759265e-07,0.001
245000,0.0,0.0,100.0,0.0,2450,65,1.0422888108152506e-09,0.001
250000,0.0,0.0,100.0,0.0,2500,65,2.5713364770751923e-09,0.001
255000,0.0,0.0,100.0,0.0,2550,65,1.2790733805445598e-08,0.001
260000,0.0,0.0,100.0,0.0,2600,65,1.7585878708814562e-07,0.001
265000,0.0,0.0,100.0,0.0,2650,65,7.378238819910621e-08,0.001
270000,0.0,0.0,100.0,0.0,2700,65,4.321136337637199e-09,0.001
275000,0.0,0.0,100.0,0.0,2750,65,6.142890640603582e-08,0.001
280000,0.0,0.0,100.0,0.0,2800,65,4.424877886322065e-08,0.001
285000,0.0,0.0,100.0,0.0,2850,65,3.4128305514968815e-07,0.001
290000,0.0,0.0,100.0,0.0,2900,65,4.089412142249671e-10,0.001
295000,0.0,0.0,100.0,0.0,2950,65,1.937922888828325e-08,0.001
300000,0.0,0.0,100.0,0.0,3000,65,2.2673315669408112e-08,0.001
305000,0.0,0.0,100.0,0.0,3050,65,5.681008996560877e-09,0.001
310000,0.0,0.0,100.0,0.0,3100,65,1.0318760956806727e-08,0.001
315000,0.0,0.0,100.0,0.0,3150,65,1.0417481322022581e-09,0.001
320000,0.0,0.0,100.0,0.0,3200,65,2.302936685794066e-08,0.001
325000,0.0,0.0,100.0,0.0,3250,65,1.6845937977905123e-08,0.001
330000,0.0,0.0,100.0,0.0,3300,65,9.058555683338909e-09,0.001
335000,0.0,0.0,100.0,0.0,3350,65,6.26564187200529e-08,0.001
340000,0.0,0.0,100.0,0.0,3400,65,5.57481660834469e-09,0.001
345000,0.0,0.0,100.0,0.0,3450,65,3.8893035458897884e-09,0.001
350000,0.0,0.0,100.0,0.0,3500,65,9.688419844167129e-09,0.001
355000,0.0,0.0,100.0,0.0,3550,65,5.127403568394584e-08,0.001
360000,0.0,0.0,100.0,0.0,3600,65,1.1182605064163909e-08,0.001
365000,0.0,0.0,100.0,0.0,3650,65,1.7059885948356168e-08,0.001
370000,0.0,0.0,100.0,0.0,3700,65,3.381883928454954e-08,0.001
375000,0.0,0.0,100.0,0.0,3750,65,1.0935232275244289e-08,0.001
380000,0.0,0.0,100.0,0.0,3800,65,8.816369856390338e-09,0.001
385000,0.0,0.0,100.0,0.0,3850,65,1.4559440764116971e-08,0.001
390000,0.0,0.0,100.0,0.0,3900,65,6.634996996268683e-10,0.001
395000,0.0,0.0,100.0,0.0,3950,65,1.4816475868428824e-07,0.001
