step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon
0,0.0,0.0,100.0,0.0,0,1,,1.0
5000,0.0,0.0,100.0,0.0,50,68,8.480367341689998e-07,0.940625
10000,0.0,0.0,100.0,0.0,100,82,5.13443637828459e-07,0.88125
15000,0.0,0.0,100.0,0.0,150,101,1.195467973502673e-07,0.821875
20000,0.0,0.0,100.0,0.0,200,101,9.703858694365408e-08,0.7625
25000,0.0,0.0,100.0,0.0,250,109,1.3772033469194866e-07,0.703125
30000,0.0,0.0,100.0,0.0,300,109,3.241026433897787e-07,0.64375
35000,0.0,0.0,100.0,0.0,350,112,9.12792472718138e-08,0.5843750000000001
40000,0.0,0.0,100.0,0.0,400,112,5.787592272099573e-07,0.525
45000,0.0,0.0,100.0,0.0,450,116,6.751266568016945e-08,0.46562500000000007
50000,0.0,0.0,100.0,0.0,500,123,1.1907105772479554e-06,0.40625
55000,0.0,0.0,100.0,0.0,550,123,2.5516699864169823e-08,0.34687500000000004
60000,0.0,0.0,100.0,0.0,600,123,1.4326452912882814e-08,0.2875000000000001
65000,0.0,0.0,100.0,0.0,650,123,1.1741994043745763e-08,0.22812500000000002
70000,0.0,0.0,100.0,0.0,700,124,1.06808366595601e-08,0.16875000000000007
75000,0.0,0.0,100.0,0.0,750,126,8.961270481222527e-08,0.109375
80000,0.0,0.0,100.0,0.0,800,126,3.532745296297435e-08,0.050000000000000044
85000,0.0,0.0,100.0,0.0,850,126,2.2559778489750215e-09,0.050000000000000044
90000,0.0,0.0,100.0,0.0,900,126,1.903276114489927e-08,0.050000000000000044
95000,0.0,0.0,100.0,0.0,950,126,1.1362081977495109e-06,0.050000000000000044
100000,0.0,0.0,100.0,0.0,1000,126,5.23388088424781e-09,0.050000000000000044
105000,0.0,0.0,100.0,0.0,1050,126,1.949646222243473e-09,0.050000000000000044
110000,0.0,0.0,100.0,0.0,1100,126,1.6085984100300266e-08,0.050000000000000044
115000,0.0,0.0,100.0,0.0,1150,126,4.189301421320124e-07,0.050000000000000044
120000,0.0,0.0,100.0,0.0,1200,126,7.06598655142443e-08,0.050000000000000044
125000,0.0,0.0,100.0,0.0,1250,126,1.5549647969237412e-07,0.050000000000000044
130000,0.0,0.0,100.0,0.0,1300,126,1.2266255566828477e-07,0.050000000000000044
135000,0.0,0.0,100.0,0.0,1350,126,5.6412439164432726e-08,0.050000000000000044
140000,0.0,0.0,100.0,0.0,1400,126,1.0355049262500415e-08,0.050000000000000044
145000,0.0,0.0,100.0,0.0,1450,126,9.17184195259324e-09,0.050000000000000044
150000,0.0,0.0,100.0,0.0,1500,126,2.473063709373946e-08,0.050000000000000044
155000,0.0,0.0,100.0,0.0,1550,126,4.3068354216302396e-08,0.050000000000000044
160000,0.0,0.0,100.0,0.0,1600,126,1.3703187917712967e-08,0.050000000000000044
165000,0.0,0.0,100.0,0.0,1650,126,5.140316972074288e-08,0.050000000000000044
170000,0.0,0.0,100.0,0.0,1700,126,3.395558723084946e-09,0.050000000000000044
175000,0.0,0.0,100.0,0.0,1750,126,2.7981978956148623e-09,0.050000000000000044
180000,0.0,0.0,100.0,0.0,1800,126,1.7074770042313503e-08,0.050000000000000044
185000,0.0,0.0,100.0,0.0,1850,126,3.0118339822138296e-08,0.050000000000000044
190000,0.0,0.0,100.0,0.0,1900,126,2.774115825943113e-09,0.050000000000000044
195000,0.0,0.0,100.0,0.0,1950,126,8.64913829445868e-09,0.050000000000000044
200000,0.0,0.0,100.0,0.0,2000,126,1.4171545714702916e-08,0.050000000000000044
205000,0.0,0.0,100.0,0.0,2050,126,2.0727195959580058e-08,0.050000000000000044
210000,0.0,0.0,100.0,0.0,2100,126,1.4647991708471864e-09,0.050000000000000044
215000,0.0,0.0,100.0,0.0,2150,126,3.404074355728426e-09,0.050000000000000044
220000,0.0,0.0,100.0,0.0,2200,126,1.3652044827949794e-08,0.050000000000000044
225000,0.0,0.0,100.0,0.0,2250,126,7.559100900778049e-09,0.050000000000000044
230000,0.0,0.0,100.0,0.0,2300,126,2.9599960260640046e-09,0.050000000000000044
235000,0.0,0.0,100.0,0.0,2350,126,3.813394933160907e-09,0.050000000000000044
240000,0.0,0.0,100.0,0.0,2400,126,1.1576883895969559e-09,0.050000000000000044
245000,0.0,0.0,100.0,0.0,2450,126,2.033830170944384e-08,0.050000000000000044
250000,0.0,0.0,100.0,0.0,2500,126,5.8531337998601884e-08,0.050000000000000044
255000,0.0,0.0,100.0,0.0,2550,126,8.589706168571354e-10,0.050000000000000044
260000,0.0,0.0,100.0,0.0,2600,126,1.0355503121672882e-09,0.050000000000000044
265000,0.0,0.0,100.0,0.0,2650,126,8.806369322655883e-08,0.050000000000000044
270000,0.0,0.0,100.0,0.0,2700,126,3.685592631086365e-08,0.050000000000000044
275000,0.0,0.0,100.0,0.0,2750,126,4.5297696260604425e-08,0.050000000000000044
280000,0.0,0.0,100.0,0.0,2800,126,3.5886094096326815e-10,0.050000000000000044
285000,0.0,0.0,100.0,0.0,2850,126,7.465852935872874e-10,0.050000000000000044
290000,0.0,0.0,100.0,0.0,2900,126,1.8188593742252124e-08,0.050000000000000044
295000,0.0,0.0,100.0,0.0,2950,126,3.548993099400377e-09,0.050000000000000044
300000,0.0,0.0,100.0,0.0,3000,126,1.5059242741699563e-08,0.050000000000000044
305000,0.0,0.0,100.0,0.0,3050,126,1.5739017200644412e-08,0.050000000000000044
310000,0.0,0.0,100.0,0.0,3100,126,5.352189802465546e-10,0.050000000000000044
315000,0.0,0.0,100.0,0.0,3150,126,4.5874219978259134e-09,0.050000000000000044
320000,0.0,0.0,100.0,0.0,3200,126,5.805065317332492e-09,0.050000000000000044
325000,0.0,0.0,100.0,0.0,3250,126,2.4055440306369746e-08,0.050000000000000044
330000,0.0,0.0,100.0,0.0,3300,126,7.974748861272474e-09,0.050000000000000044
335000,0.0,0.0,100.0,0.0,3350,126,1.2446896846540767e-08,0.050000000000000044
340000,0.0,0.0,100.0,0.0,3400,126,1.868142263106165e-08,0.050000000000000044
345000,0.0,0.0,100.0,0.0,3450,126,7.74565758754342e-11,0.050000000000000044
350000,0.0,0.0,100.0,0.0,3500,126,1.5788639284863848e-09,0.050000000000000044
355000,0.0,0.0,100.0,0.0,3550,126,3.017160965512744e-09,0.050000000000000044
360000,0.0,0.0,100.0,0.0,3600,126,2.8679053576396996e-10,0.050000000000000044
365000,0.0,0.0,100.0,0.0,3650,126,5.4386282144491815e-09,0.050000000000000044
370000,0.0,0.0,100.0,0.0,3700,126,9.797721745030685e-09,0.050000000000000044
375000,0.0,0.0,100.0,0.0,3750,126,7.24187765310802e-10,0.050000000000000044
380000,0.0,0.0,100.0,0.0,3800,126,7.079289154887647e-09,0.050000000000000044
385000,0.0,0.0,100.0,0.0,3850,126,6.062367496895149e-09,0.050000000000000044
390000,0.0,0.0,100.0,0.0,3900,126,1.489806722432263e-09,0.050000000000000044
395000,0.0,0.0,100.0,0.0,3950,126,9.138378942452619e-10,0.050000000000000044
